method	condition_id	label	stage	O2	feasible	agreement_score	spearman_expr_vs_flux	hi_expr_recall	flux_precision_hi_med	mcc_active_vs_expr	jaccard_active_vs_expr	n_flux_nonzero	n_gpr
eflux	20_pdb_half	PDB (1/2 dilution)	biotrophic	anaerobic	True	0.5626	0.0996	0.345	0.9768	0.1543	0.3492	483	1045
eflux	21_pdb_onetenth	PDB (1/10 dilution)	biotrophic	aerobic	True	0.5878	0.1159	0.36	0.9786	0.1684	0.3782	500	1045
eflux	21_pdb_onetenth	PDB (1/10 dilution)	biotrophic	anaerobic	True	0.5233	0.0942	0.31	0.9774	0.1441	0.3143	423	1045
gimme	01_trehalose	Trehalose	pre-infection	aerobic	True	0.5839	0.1544	0.3675	0.9861	0.1836	0.369	475	1045
gimme	01_trehalose	Trehalose	pre-infection	anaerobic	True	0.5783	0.1297	0.36	0.986	0.1816	0.3649	475	1045
gimme	02_glycerol	Glycerol	pre-infection	aerobic	True	0.5852	0.1415	0.3675	0.9835	0.1778	0.3707	484	1045
gimme	02_glycerol	Glycerol	pre-infection	anaerobic	True	0.5116	0.149	0.3175	0.9862	0.1572	0.2976	377	1045
gimme	03_palmitate	Palmitate (C16:0)	pre-infection	aerobic	True	0.5884	0.1151	0.36	0.9865	0.189	0.3805	487	1045
gimme	04_oleate	Oleate (C18:1)	pre-infection	aerobic	True	0.5845	0.1179	0.355	0.9864	0.1875	0.3773	485	1045
gimme	05_hexacosanoate	Hexacosanoate (C26)	pre-infection	aerobic	True	0.6086	0.1351	0.3875	0.987	0.1964	0.396	505	1045
gimme	06_glucose_low	Glucose (LOW, -1)	biotrophic	aerobic	True	0.5822	0.1509	0.365	0.9861	0.1831	0.368	469	1045
gimme	06_glucose_low	Glucose (LOW, -1)	biotrophic	anaerobic	True	0.5736	0.1426	0.355	0.9858	0.1797	0.3607	467	1045
gimme	07_sucrose_low	Sucrose (LOW, -0.5)	biotrophic	aerobic	True	0.5875	0.1584	0.375	0.9861	0.1841	0.3701	476	1045
gimme	07_sucrose_low	Sucrose (LOW, -0.5)	biotrophic	anaerobic	True	0.574	0.1427	0.3525	0.9859	0.1806	0.3628	474	1045
gimme	08_glutamate	L-Glutamate	biotrophic	aerobic	True	0.5885	0.1458	0.3725	0.9863	0.1855	0.3732	479	1045
gimme	08_glutamate	L-Glutamate	biotrophic	anaerobic	True	0.4741	0.1234	0.265	0.9851	0.147	0.2758	345	1045
gimme	09_glutamine	L-Glutamine	biotrophic	aerobic	True	0.5843	0.1347	0.365	0.9862	0.1846	0.3711	478	1045
gimme	09_glutamine	L-Glutamine	biotrophic	anaerobic	True	0.4693	0.1206	0.265	0.9848	0.1446	0.2706	342	1045
gimme	10_gaba	GABA	biotrophic	aerobic	True	0.5842	0.1579	0.37	0.9861	0.1831	0.368	476	1045
gimme	11_galacturonate	D-Galacturonate	necrotrophic	aerobic	True	0.5873	0.13	0.37	0.9783	0.1659	0.3731	487	1045
gimme	11_galacturonate	D-Galacturonate	necrotrophic	anaerobic	True	0.5801	0.1189	0.36	0.978	0.1633	0.3679	487	1045
gimme	12_xylose	Xylose	necrotrophic	aerobic	True	0.5815	0.1556	0.365	0.986	0.1826	0.3669	471	1045
gimme	12_xylose	Xylose	necrotrophic	anaerobic	True	0.5833	0.1326	0.3625	0.9862	0.1846	0.3711	486	1045
gimme	13_arabinose	L-Arabinose	necrotrophic	aerobic	True	0.5735	0.1269	0.3475	0.986	0.1816	0.3649	469	1045
gimme	14_maltose	Maltose (starch)	necrotrophic	aerobic	True	0.5773	0.1431	0.3575	0.9804	0.1681	0.3641	471	1045
gimme	14_maltose	Maltose (starch)	necrotrophic	anaerobic	True	0.5832	0.1264	0.3675	0.9806	0.1696	0.3672	481	1045
gimme	15_mixed_aa	Mixed AAs + glc	necrotrophic	aerobic	True	0.5666	0.1234	0.3575	0.9825	0.1674	0.3489	483	1045
gimme	15_mixed_aa	Mixed AAs + glc	necrotrophic	anaerobic	True	0.5842	0.1491	0.3825	0.9886	0.1865	0.3611	496	1045
gimme	16_pre_infection_mix	Pre-infection mix	cocktail	aerobic	True	0.5812	0.129	0.355	0.9862	0.185	0.3721	489	1045
gimme	16_pre_infection_mix	Pre-infection mix	cocktail	anaerobic	True	0.5531	0.1337	0.3375	0.985	0.1704	0.341	441	1045
gimme	17_biotrophic_mix	Biotrophic mix	cocktail	aerobic	True	0.5822	0.1475	0.365	0.9861	0.1831	0.368	476	1045
gimme	17_biotrophic_mix	Biotrophic mix	cocktail	anaerobic	True	0.5789	0.1486	0.36	0.986	0.1821	0.3659	484	1045
gimme	18_necrotrophic_mix	Necrotrophic mix	cocktail	aerobic	True	0.5802	0.1217	0.365	0.9804	0.1681	0.3641	507	1045
gimme	18_necrotrophic_mix	Necrotrophic mix	cocktail	anaerobic	True	0.581	0.1273	0.3725	0.9803	0.1666	0.361	509	1045
gimme	19_pdb_baseline	PDB (baseline)	biotrophic	aerobic	True	0.6189	0.1442	0.395	0.9874	0.2024	0.4085	549	1045
gimme	19_pdb_baseline	PDB (baseline)	biotrophic	anaerobic	True	0.5878	0.118	0.3725	0.9862	0.185	0.3721	510	1045
gimme	20_pdb_half	PDB (1/2 dilution)	biotrophic	aerobic	True	0.6094	0.1205	0.38	0.9872	0.1994	0.4023	532	1045
gimme	20_pdb_half	PDB (1/2 dilution)	biotrophic	anaerobic	True	0.5944	0.1297	0.3825	0.9864	0.187	0.3763	517	1045
gimme	21_pdb_onetenth	PDB (1/10 dilution)	biotrophic	aerobic	True	0.6133	0.1324	0.39	0.9872	0.1994	0.4023	542	1045
gimme	21_pdb_onetenth	PDB (1/10 dilution)	biotrophic	anaerobic	True	0.5501	0.1262	0.3375	0.9878	0.1754	0.3371	447	1045
imat	01_trehalose	Trehalose	pre-infection	aerobic	True	0.8498	0.3763	0.7525	0.979	0.2504	0.5779	766	1045
imat	01_trehalose	Trehalose	pre-infection	anaerobic	True	0.8478	0.3572	0.75	0.9789	0.2485	0.5748	783	1045
imat	02_glycerol	Glycerol	pre-infection	aerobic	True	0.8241	0.3585	0.715	0.9639	0.184	0.5466	746	1045
imat	02_glycerol	Glycerol	pre-infection	anaerobic	True	0.683	0.3443	0.5475	0.9848	0.1943	0.405	521	1045
imat	03_palmitate	Palmitate (C16:0)	pre-infection	aerobic	True	0.8534	0.3726	0.76	0.9807	0.2561	0.5775	775	1045
imat	04_oleate	Oleate (C18:1)	pre-infection	aerobic	True	0.8499	0.3445	0.7475	0.9778	0.2517	0.5897	805	1045
imat	05_hexacosanoate	Hexacosanoate (C26)	pre-infection	aerobic	True	0.855	0.3584	0.7575	0.9795	0.258	0.5903	794	1045
imat	06_glucose_low	Glucose (LOW, -1)	biotrophic	aerobic	True	0.8541	0.3834	0.76	0.9774	0.2454	0.5794	779	1045
imat	06_glucose_low	Glucose (LOW, -1)	biotrophic	anaerobic	True	0.8146	0.3491	0.7025	0.9812	0.2405	0.5408	731	1045
imat	07_sucrose_low	Sucrose (LOW, -0.5)	biotrophic	aerobic	True	0.8453	0.3941	0.75	0.9787	0.2454	0.5697	763	1045
imat	07_sucrose_low	Sucrose (LOW, -0.5)	biotrophic	anaerobic	True	0.8121	0.3722	0.705	0.9751	0.2139	0.5258	699	1045
imat	08_glutamate	L-Glutamate	biotrophic	aerobic	True	0.8348	0.3576	0.7275	0.9752	0.2322	0.5675	769	1045
imat	08_glutamate	L-Glutamate	biotrophic	anaerobic	True	0.6029	0.2771	0.455	0.9793	0.1581	0.3434	442	1045
imat	09_glutamine	L-Glutamine	biotrophic	aerobic	True	0.8507	0.3703	0.7525	0.9792	0.2529	0.582	781	1045
imat	09_glutamine	L-Glutamine	biotrophic	anaerobic	True	0.6037	0.2788	0.46	0.9792	0.1571	0.3413	430	1045
imat	10_gaba	GABA	biotrophic	aerobic	True	0.8262	0.3657	0.7175	0.9781	0.2362	0.5542	738	1045
imat	11_galacturonate	D-Galacturonate	necrotrophic	aerobic	True	0.8399	0.3348	0.74	0.9787	0.2448	0.5686	766	1045
imat	11_galacturonate	D-Galacturonate	necrotrophic	anaerobic	True	0.8256	0.3304	0.72	0.9799	0.2413	0.5527	767	1045
imat	12_xylose	Xylose	necrotrophic	aerobic	True	0.851	0.3532	0.75	0.9811	0.2637	0.5899	795	1045
imat	12_xylose	Xylose	necrotrophic	anaerobic	True	0.8277	0.3252	0.72	0.9729	0.2179	0.5535	760	1045
imat	13_arabinose	L-Arabinose	necrotrophic	aerobic	True	0.8563	0.3342	0.7625	0.9725	0.229	0.5817	784	1045
imat	14_maltose	Maltose (starch)	necrotrophic	aerobic	True	0.8504	0.3346	0.755	0.9738	0.2296	0.573	770	1045
imat	14_maltose	Maltose (starch)	necrotrophic	anaerobic	True	0.8479	0.3407	0.7475	0.974	0.2334	0.5792	806	1045
imat	15_mixed_aa	Mixed AAs + glc	necrotrophic	aerobic	True	0.8556	0.3243	0.76	0.9793	0.2561	0.5872	801	1045
imat	15_mixed_aa	Mixed AAs + glc	necrotrophic	anaerobic	True	0.8159	0.3534	0.71	0.9772	0.2226	0.5304	720	1045
imat	16_pre_infection_mix	Pre-infection mix	cocktail	aerobic	True	0.8466	0.3573	0.75	0.9822	0.258	0.5708	766	1045
imat	16_pre_infection_mix	Pre-infection mix	cocktail	anaerobic	True	0.823	0.3628	0.7225	0.9791	0.23	0.5331	718	1045
imat	17_biotrophic_mix	Biotrophic mix	cocktail	aerobic	True	0.8456	0.3631	0.7425	0.9809	0.2592	0.5826	799	1045
imat	17_biotrophic_mix	Biotrophic mix	cocktail	anaerobic	True	0.8146	0.361	0.7075	0.9772	0.2226	0.5304	714	1045
imat	18_necrotrophic_mix	Necrotrophic mix	cocktail	aerobic	True	0.8585	0.3593	0.7725	0.9772	0.2428	0.5753	792	1045
imat	18_necrotrophic_mix	Necrotrophic mix	cocktail	anaerobic	True	0.8425	0.3323	0.7425	0.9718	0.2196	0.5663	798	1045
imat	19_pdb_baseline	PDB (baseline)	biotrophic	aerobic	True	0.8483	0.3057	0.75	0.9725	0.2284	0.5807	802	1045
imat	19_pdb_baseline	PDB (baseline)	biotrophic	anaerobic	True	0.8445	0.3317	0.745	0.9771	0.2403	0.5711	784	1045
imat	20_pdb_half	PDB (1/2 dilution)	biotrophic	aerobic	True	0.8499	0.3406	0.75	0.9761	0.2454	0.5891	804	1045
imat	20_pdb_half	PDB (1/2 dilution)	biotrophic	anaerobic	True	0.8137	0.3331	0.7	0.9758	0.2221	0.5402	736	1045
imat	21_pdb_onetenth	PDB (1/10 dilution)	biotrophic	aerobic	True	0.8239	0.3498	0.715	0.9782	0.2368	0.5552	756	1045
imat	21_pdb_onetenth	PDB (1/10 dilution)	biotrophic	anaerobic	True	0.8091	0.332	0.6975	0.9753	0.2157	0.5289	718	1045
pfba	01_trehalose	Trehalose	pre-infection	aerobic	True	0.5757	0.1394	0.355	0.9804	0.1676	0.3631	467	1045
pfba	01_trehalose	Trehalose	pre-infection	anaerobic	True	0.5712	0.1242	0.3525	0.9829	0.1719	0.3583	469	1045
pfba	02_glycerol	Glycerol	pre-infection	aerobic	True	0.5769	0.1366	0.36	0.9776	0.1603	0.3617	466	1045
pfba	02_glycerol	Glycerol	pre-infection	anaerobic	True	0.4991	0.1363	0.305	0.9823	0.1455	0.2879	357	1045
pfba	03_palmitate	Palmitate (C16:0)	pre-infection	aerobic	True	0.5855	0.1209	0.3575	0.9784	0.1674	0.3762	481	1045
pfba	04_oleate	Oleate (C18:1)	pre-infection	aerobic	True	0.5802	0.1098	0.3525	0.9781	0.1648	0.371	485	1045
pfba	05_hexacosanoate	Hexacosanoate (C26)	pre-infection	aerobic	True	0.6026	0.1235	0.38	0.9843	0.1872	0.3904	497	1045
pfba	06_glucose_low	Glucose (LOW, -1)	biotrophic	aerobic	True	0.5776	0.1426	0.36	0.9777	0.1608	0.3627	463	1045
pfba	06_glucose_low	Glucose (LOW, -1)	biotrophic	anaerobic	True	0.5691	0.1362	0.3525	0.9828	0.1704	0.3551	460	1045
pfba	07_sucrose_low	Sucrose (LOW, -0.5)	biotrophic	aerobic	True	0.5799	0.1505	0.3625	0.9778	0.1618	0.3648	467	1045
pfba	07_sucrose_low	Sucrose (LOW, -0.5)	biotrophic	anaerobic	True	0.5698	0.1323	0.3525	0.9828	0.1709	0.3562	463	1045
pfba	08_glutamate	L-Glutamate	biotrophic	aerobic	True	0.5795	0.1323	0.365	0.9804	0.1676	0.3631	472	1045
pfba	08_glutamate	L-Glutamate	biotrophic	anaerobic	False	0.0	0.0	0.0	0.0	0.0	0.0	0	1045
pfba	09_glutamine	L-Glutamine	biotrophic	aerobic	True	0.5792	0.1309	0.3625	0.9804	0.1681	0.3641	476	1045
pfba	09_glutamine	L-Glutamine	biotrophic	anaerobic	False	0.0	0.0	0.0	0.0	0.0	0.0	0	1045
pfba	10_gaba	GABA	biotrophic	aerobic	True	0.5757	0.1316	0.3625	0.9719	0.1453	0.3578	467	1045
pfba	11_galacturonate	D-Galacturonate	necrotrophic	aerobic	True	0.5787	0.1219	0.36	0.9751	0.1556	0.3654	477	1045
pfba	11_galacturonate	D-Galacturonate	necrotrophic	anaerobic	True	0.574	0.111	0.355	0.9776	0.1603	0.3617	477	1045
pfba	12_xylose	Xylose	necrotrophic	aerobic	True	0.5747	0.1256	0.3525	0.9777	0.1608	0.3627	464	1045
pfba	12_xylose	Xylose	necrotrophic	anaerobic	True	0.5747	0.1203	0.3525	0.9831	0.1743	0.3634	473	1045
pfba	13_arabinose	L-Arabinose	necrotrophic	aerobic	True	0.5728	0.1231	0.3475	0.9804	0.1676	0.3631	466	1045
pfba	14_maltose	Maltose (starch)	necrotrophic	aerobic	True	0.5789	0.1342	0.36	0.9751	0.1551	0.3644	469	1045
pfba	14_maltose	Maltose (starch)	necrotrophic	anaerobic	True	0.5738	0.1243	0.3575	0.9774	0.1588	0.3585	469	1045
pfba	15_mixed_aa	Mixed AAs + glc	necrotrophic	aerobic	True	0.5635	0.117	0.355	0.9737	0.1454	0.3447	483	1045
pfba	15_mixed_aa	Mixed AAs + glc	necrotrophic	anaerobic	True	0.5455	0.0991	0.3375	0.9725	0.1378	0.3292	458	1045
pfba	16_pre_infection_mix	Pre-infection mix	cocktail	aerobic	True	0.5812	0.1234	0.355	0.9835	0.1783	0.3718	483	1045
pfba	16_pre_infection_mix	Pre-infection mix	cocktail	anaerobic	True	0.5743	0.1307	0.355	0.9831	0.1734	0.3614	479	1045
pfba	17_biotrophic_mix	Biotrophic mix	cocktail	aerobic	True	0.5784	0.1334	0.355	0.9833	0.1763	0.3676	476	1045
pfba	17_biotrophic_mix	Biotrophic mix	cocktail	anaerobic	True	0.5757	0.1423	0.3625	0.9802	0.1656	0.3589	477	1045
pfba	18_necrotrophic_mix	Necrotrophic mix	cocktail	aerobic	True	0.5762	0.1126	0.37	0.9663	0.1307	0.355	504	1045
pfba	18_necrotrophic_mix	Necrotrophic mix	cocktail	anaerobic	True	0.5501	0.0907	0.34	0.9701	0.1339	0.3351	478	1045
pfba	19_pdb_baseline	PDB (baseline)	biotrophic	aerobic	True	0.5884	0.1151	0.3625	0.9786	0.1689	0.3793	505	1045
pfba	19_pdb_baseline	PDB (baseline)	biotrophic	anaerobic	True	0.5652	0.1024	0.3525	0.9769	0.1548	0.3503	484	1045
pfba	20_pdb_half	PDB (1/2 dilution)	biotrophic	aerobic	True	0.5884	0.1167	0.3625	0.9786	0.1689	0.3793	505	1045
pfba	20_pdb_half	PDB (1/2 dilution)	biotrophic	anaerobic	True	0.5652	0.1044	0.3525	0.9769	0.1548	0.3503	482	1045
pfba	21_pdb_onetenth	PDB (1/10 dilution)	biotrophic	aerobic	True	0.5878	0.1166	0.3625	0.9759	0.1617	0.3778	503	1045
pfba	21_pdb_onetenth	PDB (1/10 dilution)	biotrophic	anaerobic	True	0.5294	0.1068	0.32	0.9808	0.1527	0.3178	426	1045
