method	condition_id	label	stage	O2	feasible	agreement_score	spearman_expr_vs_flux	hi_expr_recall	flux_precision_hi_med	mcc_active_vs_expr	jaccard_active_vs_expr	n_flux_nonzero	n_gpr	spearman_expr_vs_flux_rn	hi_expr_recall_rn	flux_precision_hi_med_rn	mcc_active_vs_expr_rn	composite
eflux	07_sucrose_low	Sucrose (LOW, -0.5)	biotrophic	anaerobic	True	0.5688	0.1266	0.35	0.98	0.1641	0.3558	463	1045	0.3776223776223776	0.16083916083916083	0.5244755244755245	0.3146853146853147	0.3444
eflux	08_glutamate	L-Glutamate	biotrophic	aerobic	True	0.5811	0.1369	0.3675	0.975	0.1546	0.3634	477	1045	0.5874125874125874	0.6188811188811189	0.13636363636363635	0.15034965034965034	0.3733
eflux	08_glutamate	L-Glutamate	biotrophic	anaerobic	True	0.482	0.1196	0.28	0.9817	0.1411	0.2786	351	1045	0.2097902097902098	0.02097902097902098	0.6748251748251748	0.04195804195804196	0.2369
eflux	09_glutamine	L-Glutamine	biotrophic	aerobic	True	0.5778	0.1325	0.3625	0.9749	0.1536	0.3613	473	1045	0.48951048951048953	0.5244755244755245	0.12237762237762238	0.1258741258741259	0.3156
eflux	09_glutamine	L-Glutamine	biotrophic	anaerobic	True	0.4784	0.1122	0.275	0.9815	0.1401	0.2765	351	1045	0.0979020979020979	0.013986013986013986	0.6643356643356644	0.027972027972027972	0.201
eflux	10_gaba	GABA	biotrophic	aerobic	True	0.5762	0.1358	0.36	0.9775	0.1598	0.3606	464	1045	0.5594405594405595	0.44405594405594406	0.2867132867132867	0.22377622377622378	0.3785
eflux	12_xylose	Xylose	necrotrophic	aerobic	True	0.5747	0.1297	0.3525	0.9777	0.1608	0.3627	464	1045	0.4125874125874126	0.22727272727272727	0.32867132867132864	0.2727272727272727	0.3103
eflux	12_xylose	Xylose	necrotrophic	anaerobic	True	0.5738	0.1133	0.35	0.9804	0.1676	0.3631	474	1045	0.11888111888111888	0.16083916083916083	0.5804195804195804	0.3951048951048951	0.3138
eflux	13_arabinose	L-Arabinose	necrotrophic	aerobic	True	0.5719	0.1135	0.345	0.9804	0.1676	0.3631	464	1045	0.1258741258741259	0.11538461538461539	0.5804195804195804	0.3951048951048951	0.3042
eflux	14_maltose	Maltose (starch)	necrotrophic	aerobic	True	0.5766	0.1333	0.3575	0.9749	0.1541	0.3623	465	1045	0.5104895104895105	0.3741258741258741	0.12237762237762238	0.13286713286713286	0.285
eflux	14_maltose	Maltose (starch)	necrotrophic	anaerobic	True	0.5712	0.107	0.3525	0.9746	0.1515	0.3571	470	1045	0.06993006993006994	0.22727272727272727	0.11188811188811189	0.11188811188811189	0.1302
eflux	15_mixed_aa	Mixed AAs + glc	necrotrophic	aerobic	True	0.5635	0.1163	0.355	0.9737	0.1454	0.3447	483	1045	0.15384615384615385	0.3111888111888112	0.08741258741258741	0.08741258741258741	0.16
