gene	ko_id	uniprot_chig_id	logFC_half_vs_PDA	adjP_half_vs_PDA	logFC_onetenth_vs_PDA	adjP_onetenth_vs_PDA	logFC_onetenth_vs_half	adjP_onetenth_vs_half	sig_half_vs_PDA	sig_onetenth_vs_PDA	sig_onetenth_vs_half
gene_6854	K00762	tr|H1W190|H1W190_COLHI	0.0801	0.8939	0.6744	0.0666	0.5943	0.102	False	False	False
gene_9039	K02212	tr|H1VND9|H1VND9_COLHI	0.8869	0.0739	0.9002	0.0194	0.0134	0.9749	False	False	False
gene_1865	K00888	tr|A0A1B7XZF2|A0A1B7XZF2_COLHI	0.6721	0.4232	0.5419	0.3696	-0.1301	0.8428	False	False	False
gene_5001	K00749	tr|A0A1B7YG28|A0A1B7YG28_COLHI	0.9876	0.4215	-1.3604	0.1441	-2.348	0.0192	False	False	True
gene_11385	K07512	tr|A0A1B7Y9S1|A0A1B7Y9S1_COLHI	0.2538	0.6637	-0.9735	0.0227	-1.2273	0.0067	False	False	True
gene_5786	K01803	tr|H1V2C4|H1V2C4_COLHI	-0.095	0.8246	0.0059	0.982	0.1009	0.7336	False	False	False
gene_3021	K00295	tr|H1VCR0|H1VCR0_COLHI	0.3583	0.5367	1.1738	0.0099	0.8155	0.0507	False	True	False
gene_9268	K00457	tr|H1V727|H1V727_COLHI	-0.9018	0.2501	-1.646	0.0109	-0.7442	0.1955	False	True	False
gene_5682	K01953	tr|A0A1B7Y5J2|A0A1B7Y5J2_COLHI	0.2085	0.6084	-0.0864	0.7794	-0.2949	0.2916	False	False	False
gene_3801	K15394	tr|A0A1B7XQE4|A0A1B7XQE4_COLHI	-1.0323	0.468	-1.2897	0.2016	-0.2573	0.8144	False	False	False
gene_8788	K00413	tr|A0A1B7YUA9|A0A1B7YUA9_COLHI	0.0427	0.8886	-0.2961	0.1156	-0.3388	0.0749	False	False	False
gene_4358	K00033	tr|H1VED3|H1VED3_COLHI	-0.1467	0.6947	-0.7963	0.0069	-0.6496	0.018	False	False	False
gene_9650		tr|H1VLG1|H1VLG1_COLHI	0.4721	0.3536	0.6057	0.1036	0.1336	0.7336	False	False	False
gene_1379	K17066	tr|A0A1B7XRE5|A0A1B7XRE5_COLHI	-2.9134	0.0969	-1.0872	0.4002	1.8262	0.1485	False	False	False
gene_7676	K00128	tr|A0A1B7XXI2|A0A1B7XXI2_COLHI	-0.6343	0.2555	-1.7773	0.0014	-1.143	0.0116	False	True	True
gene_2621	K05607	tr|A0A1B7YW25|A0A1B7YW25_COLHI	0.5718	0.2784	0.222	0.5785	-0.3499	0.3658	False	False	False
gene_1228	K00276	tr|A0A1B7Y8E9|A0A1B7Y8E9_COLHI	-0.483	0.1457	-0.1648	0.5156	0.3182	0.1941	False	False	False
gene_9231	K01858	tr|A0A1B7Y6M0|A0A1B7Y6M0_COLHI	2.187	0.0616	-2.1636	0.016	-4.3506	0.0003	False	True	True
gene_5199	K03885	tr|H1UWG2|H1UWG2_COLHI	0.1708	0.5686	0.1702	0.4244	-0.0007	0.9976	False	False	False
gene_10947	K02938	tr|H1VDL7|H1VDL7_COLHI	-0.3495	0.2205	-0.5091	0.0238	-0.1596	0.4518	False	False	False
gene_4548	K01738	tr|A0A1B7YQE7|A0A1B7YQE7_COLHI	0.4766	0.1743	0.1812	0.4977	-0.2954	0.2496	False	False	False
gene_6894	K01652	tr|H1VAC7|H1VAC7_COLHI	0.0373	0.9451	1.3068	0.0021	1.2695	0.0017	False	True	True
gene_5039	K01689	tr|A0A1B7YV35|A0A1B7YV35_COLHI	0.0654	0.9385	-1.6002	0.0051	-1.6656	0.0034	False	True	True
gene_5380	K00262	tr|H1VBL2|H1VBL2_COLHI	2.2076	0.0977					False	False	False
gene_5143	K00327	tr|H1UVQ9|H1UVQ9_COLHI	-0.0025	0.9925	0.4885	0.0375	0.491	0.0367	False	False	False
gene_10958	K01694	tr|A0A1B7YB85|A0A1B7YB85_COLHI	1.2913	0.08	0.3304	0.5472	-0.961	0.0769	False	False	False
gene_7443	K13830	tr|H1W177|H1W177_COLHI	0.6189	0.0969	0.5505	0.0478	-0.0684	0.8152	False	False	False
gene_10617		tr|H1VDC0|H1VDC0_COLHI	0.1751	0.8406	-1.9136	0.0042	-2.0887	0.0021	False	True	True
gene_12299	K00688	tr|H1VST3|H1VST3_COLHI	0.0083	0.9899	-1.3376	0.0103	-1.3459	0.0096	False	True	True
