kegg_pathway_name	method	condition_id	O2	stage	n_rxn	n_active	total_flux	active_rate
Arginine and proline metabolism;Biosynthesis of secondary metabolites;2-Oxocarboxylic acid metabolism;Biosynthesis of amino acids	gimme	04_oleate	aerobic	pre-infection	4	3	0.0555	0.75
Arginine and proline metabolism;Biosynthesis of secondary metabolites;2-Oxocarboxylic acid metabolism;Biosynthesis of amino acids	gimme	05_hexacosanoate	aerobic	pre-infection	4	3	0.0894	0.75
Arginine and proline metabolism;Biosynthesis of secondary metabolites;2-Oxocarboxylic acid metabolism;Biosynthesis of amino acids	gimme	06_glucose_low	aerobic	biotrophic	4	3	0.0158	0.75
Arginine and proline metabolism;Biosynthesis of secondary metabolites;2-Oxocarboxylic acid metabolism;Biosynthesis of amino acids	gimme	06_glucose_low	anaerobic	biotrophic	4	3	0.0032	0.75
Arginine and proline metabolism;Biosynthesis of secondary metabolites;2-Oxocarboxylic acid metabolism;Biosynthesis of amino acids	gimme	07_sucrose_low	aerobic	biotrophic	4	3	0.0158	0.75
Arginine and proline metabolism;Biosynthesis of secondary metabolites;2-Oxocarboxylic acid metabolism;Biosynthesis of amino acids	gimme	07_sucrose_low	anaerobic	biotrophic	4	3	0.0032	0.75
Arginine and proline metabolism;Biosynthesis of secondary metabolites;2-Oxocarboxylic acid metabolism;Biosynthesis of amino acids	gimme	08_glutamate	aerobic	biotrophic	4	3	0.0463	0.75
Arginine and proline metabolism;Biosynthesis of secondary metabolites;2-Oxocarboxylic acid metabolism;Biosynthesis of amino acids	gimme	08_glutamate	anaerobic	biotrophic	4	3	0.0001	0.75
Arginine and proline metabolism;Biosynthesis of secondary metabolites;2-Oxocarboxylic acid metabolism;Biosynthesis of amino acids	gimme	09_glutamine	aerobic	biotrophic	4	3	0.0464	0.75
Arginine and proline metabolism;Biosynthesis of secondary metabolites;2-Oxocarboxylic acid metabolism;Biosynthesis of amino acids	gimme	09_glutamine	anaerobic	biotrophic	4	3	0.0001	0.75
Arginine and proline metabolism;Biosynthesis of secondary metabolites;2-Oxocarboxylic acid metabolism;Biosynthesis of amino acids	gimme	10_gaba	aerobic	biotrophic	4	3	0.0436	0.75
Arginine and proline metabolism;Biosynthesis of secondary metabolites;2-Oxocarboxylic acid metabolism;Biosynthesis of amino acids	gimme	11_galacturonate	aerobic	necrotrophic	4	3	0.0648	0.75
Arginine and proline metabolism;Biosynthesis of secondary metabolites;2-Oxocarboxylic acid metabolism;Biosynthesis of amino acids	gimme	11_galacturonate	anaerobic	necrotrophic	4	3	0.0089	0.75
Arginine and proline metabolism;Biosynthesis of secondary metabolites;2-Oxocarboxylic acid metabolism;Biosynthesis of amino acids	gimme	12_xylose	aerobic	necrotrophic	4	3	0.0632	0.75
Arginine and proline metabolism;Biosynthesis of secondary metabolites;2-Oxocarboxylic acid metabolism;Biosynthesis of amino acids	gimme	12_xylose	anaerobic	necrotrophic	4	3	0.0065	0.75
Arginine and proline metabolism;Biosynthesis of secondary metabolites;2-Oxocarboxylic acid metabolism;Biosynthesis of amino acids	gimme	13_arabinose	aerobic	necrotrophic	4	3	0.0606	0.75
Arginine and proline metabolism;Biosynthesis of secondary metabolites;2-Oxocarboxylic acid metabolism;Biosynthesis of amino acids	gimme	14_maltose	aerobic	necrotrophic	4	3	0.158	0.75
Arginine and proline metabolism;Biosynthesis of secondary metabolites;2-Oxocarboxylic acid metabolism;Biosynthesis of amino acids	gimme	14_maltose	anaerobic	necrotrophic	4	3	0.0321	0.75
Arginine and proline metabolism;Biosynthesis of secondary metabolites;2-Oxocarboxylic acid metabolism;Biosynthesis of amino acids	gimme	15_mixed_aa	aerobic	necrotrophic	4	0	0.0	0.0
Arginine and proline metabolism;Biosynthesis of secondary metabolites;2-Oxocarboxylic acid metabolism;Biosynthesis of amino acids	gimme	15_mixed_aa	anaerobic	necrotrophic	4	0	0.0	0.0
Arginine and proline metabolism;Biosynthesis of secondary metabolites;2-Oxocarboxylic acid metabolism;Biosynthesis of amino acids	gimme	16_pre_infection_mix	aerobic	cocktail	4	3	0.0301	0.75
Arginine and proline metabolism;Biosynthesis of secondary metabolites;2-Oxocarboxylic acid metabolism;Biosynthesis of amino acids	gimme	16_pre_infection_mix	anaerobic	cocktail	4	3	0.0022	0.75
Arginine and proline metabolism;Biosynthesis of secondary metabolites;2-Oxocarboxylic acid metabolism;Biosynthesis of amino acids	gimme	17_biotrophic_mix	aerobic	cocktail	4	3	0.0272	0.75
Arginine and proline metabolism;Biosynthesis of secondary metabolites;2-Oxocarboxylic acid metabolism;Biosynthesis of amino acids	gimme	17_biotrophic_mix	anaerobic	cocktail	4	3	0.0041	0.75
Arginine and proline metabolism;Biosynthesis of secondary metabolites;2-Oxocarboxylic acid metabolism;Biosynthesis of amino acids	gimme	18_necrotrophic_mix	aerobic	cocktail	4	0	0.0	0.0
Arginine and proline metabolism;Biosynthesis of secondary metabolites;2-Oxocarboxylic acid metabolism;Biosynthesis of amino acids	gimme	18_necrotrophic_mix	anaerobic	cocktail	4	0	0.0	0.0
Arginine and proline metabolism;Biosynthesis of secondary metabolites;2-Oxocarboxylic acid metabolism;Biosynthesis of amino acids	imat	01_trehalose	aerobic	pre-infection	4	3	0.0156	0.75
Arginine and proline metabolism;Biosynthesis of secondary metabolites;2-Oxocarboxylic acid metabolism;Biosynthesis of amino acids	imat	01_trehalose	anaerobic	pre-infection	4	3	0.0108	0.75
Arginine and proline metabolism;Biosynthesis of secondary metabolites;2-Oxocarboxylic acid metabolism;Biosynthesis of amino acids	imat	02_glycerol	aerobic	pre-infection	4	3	0.0072	0.75
Arginine and proline metabolism;Biosynthesis of secondary metabolites;2-Oxocarboxylic acid metabolism;Biosynthesis of amino acids	imat	02_glycerol	anaerobic	pre-infection	4	3	0.006	0.75
Arginine and proline metabolism;Biosynthesis of secondary metabolites;2-Oxocarboxylic acid metabolism;Biosynthesis of amino acids	imat	03_palmitate	aerobic	pre-infection	4	3	0.0873	0.75
Arginine and proline metabolism;Biosynthesis of secondary metabolites;2-Oxocarboxylic acid metabolism;Biosynthesis of amino acids	imat	04_oleate	aerobic	pre-infection	4	3	0.0156	0.75
Arginine and proline metabolism;Biosynthesis of secondary metabolites;2-Oxocarboxylic acid metabolism;Biosynthesis of amino acids	imat	05_hexacosanoate	aerobic	pre-infection	4	3	31.92	0.75
Arginine and proline metabolism;Biosynthesis of secondary metabolites;2-Oxocarboxylic acid metabolism;Biosynthesis of amino acids	imat	06_glucose_low	aerobic	biotrophic	4	3	0.0221	0.75
Arginine and proline metabolism;Biosynthesis of secondary metabolites;2-Oxocarboxylic acid metabolism;Biosynthesis of amino acids	imat	06_glucose_low	anaerobic	biotrophic	4	3	0.0105	0.75
Arginine and proline metabolism;Biosynthesis of secondary metabolites;2-Oxocarboxylic acid metabolism;Biosynthesis of amino acids	imat	07_sucrose_low	aerobic	biotrophic	4	3	0.0255	0.75
Arginine and proline metabolism;Biosynthesis of secondary metabolites;2-Oxocarboxylic acid metabolism;Biosynthesis of amino acids	imat	07_sucrose_low	anaerobic	biotrophic	4	3	0.0085	0.75
Arginine and proline metabolism;Biosynthesis of secondary metabolites;2-Oxocarboxylic acid metabolism;Biosynthesis of amino acids	imat	08_glutamate	aerobic	biotrophic	4	3	0.0085	0.75
Arginine and proline metabolism;Biosynthesis of secondary metabolites;2-Oxocarboxylic acid metabolism;Biosynthesis of amino acids	imat	08_glutamate	anaerobic	biotrophic	4	3	0.006	0.75
Arginine and proline metabolism;Biosynthesis of secondary metabolites;2-Oxocarboxylic acid metabolism;Biosynthesis of amino acids	imat	09_glutamine	aerobic	biotrophic	4	3	0.0156	0.75
Arginine and proline metabolism;Biosynthesis of secondary metabolites;2-Oxocarboxylic acid metabolism;Biosynthesis of amino acids	imat	09_glutamine	anaerobic	biotrophic	4	3	0.0062	0.75
Arginine and proline metabolism;Biosynthesis of secondary metabolites;2-Oxocarboxylic acid metabolism;Biosynthesis of amino acids	imat	10_gaba	aerobic	biotrophic	4	3	0.0084	0.75
Arginine and proline metabolism;Biosynthesis of secondary metabolites;2-Oxocarboxylic acid metabolism;Biosynthesis of amino acids	imat	11_galacturonate	aerobic	necrotrophic	4	3	0.128	0.75
Arginine and proline metabolism;Biosynthesis of secondary metabolites;2-Oxocarboxylic acid metabolism;Biosynthesis of amino acids	imat	11_galacturonate	anaerobic	necrotrophic	4	3	0.0072	0.75
Arginine and proline metabolism;Biosynthesis of secondary metabolites;2-Oxocarboxylic acid metabolism;Biosynthesis of amino acids	imat	12_xylose	aerobic	necrotrophic	4	3	0.0156	0.75
Arginine and proline metabolism;Biosynthesis of secondary metabolites;2-Oxocarboxylic acid metabolism;Biosynthesis of amino acids	imat	12_xylose	anaerobic	necrotrophic	4	3	0.0085	0.75
Arginine and proline metabolism;Biosynthesis of secondary metabolites;2-Oxocarboxylic acid metabolism;Biosynthesis of amino acids	imat	13_arabinose	aerobic	necrotrophic	4	3	0.065	0.75
Arginine and proline metabolism;Biosynthesis of secondary metabolites;2-Oxocarboxylic acid metabolism;Biosynthesis of amino acids	imat	14_maltose	aerobic	necrotrophic	4	3	0.1329	0.75
Arginine and proline metabolism;Biosynthesis of secondary metabolites;2-Oxocarboxylic acid metabolism;Biosynthesis of amino acids	imat	14_maltose	anaerobic	necrotrophic	4	3	0.0132	0.75
Arginine and proline metabolism;Biosynthesis of secondary metabolites;2-Oxocarboxylic acid metabolism;Biosynthesis of amino acids	imat	15_mixed_aa	aerobic	necrotrophic	4	3	0.003	0.75
Arginine and proline metabolism;Biosynthesis of secondary metabolites;2-Oxocarboxylic acid metabolism;Biosynthesis of amino acids	imat	15_mixed_aa	anaerobic	necrotrophic	4	3	0.006	0.75
Arginine and proline metabolism;Biosynthesis of secondary metabolites;2-Oxocarboxylic acid metabolism;Biosynthesis of amino acids	imat	16_pre_infection_mix	aerobic	cocktail	4	3	0.0991	0.75
Arginine and proline metabolism;Biosynthesis of secondary metabolites;2-Oxocarboxylic acid metabolism;Biosynthesis of amino acids	imat	16_pre_infection_mix	anaerobic	cocktail	4	3	0.0072	0.75
Arginine and proline metabolism;Biosynthesis of secondary metabolites;2-Oxocarboxylic acid metabolism;Biosynthesis of amino acids	imat	17_biotrophic_mix	aerobic	cocktail	4	3	0.009	0.75
Arginine and proline metabolism;Biosynthesis of secondary metabolites;2-Oxocarboxylic acid metabolism;Biosynthesis of amino acids	imat	17_biotrophic_mix	anaerobic	cocktail	4	3	0.0085	0.75
Arginine and proline metabolism;Biosynthesis of secondary metabolites;2-Oxocarboxylic acid metabolism;Biosynthesis of amino acids	imat	18_necrotrophic_mix	aerobic	cocktail	4	0	0.0	0.0
Arginine and proline metabolism;Biosynthesis of secondary metabolites;2-Oxocarboxylic acid metabolism;Biosynthesis of amino acids	imat	18_necrotrophic_mix	anaerobic	cocktail	4	3	0.003	0.75
Arginine and proline metabolism;Biosynthesis of secondary metabolites;2-Oxocarboxylic acid metabolism;Biosynthesis of amino acids	pfba	01_trehalose	aerobic	pre-infection	4	3	0.0351	0.75
Arginine and proline metabolism;Biosynthesis of secondary metabolites;2-Oxocarboxylic acid metabolism;Biosynthesis of amino acids	pfba	01_trehalose	anaerobic	pre-infection	4	3	0.0071	0.75
Arginine and proline metabolism;Biosynthesis of secondary metabolites;2-Oxocarboxylic acid metabolism;Biosynthesis of amino acids	pfba	02_glycerol	aerobic	pre-infection	4	3	0.01	0.75
Arginine and proline metabolism;Biosynthesis of secondary metabolites;2-Oxocarboxylic acid metabolism;Biosynthesis of amino acids	pfba	02_glycerol	anaerobic	pre-infection	4	3	0.0004	0.75
Arginine and proline metabolism;Biosynthesis of secondary metabolites;2-Oxocarboxylic acid metabolism;Biosynthesis of amino acids	pfba	03_palmitate	aerobic	pre-infection	4	3	0.0549	0.75
Arginine and proline metabolism;Biosynthesis of secondary metabolites;2-Oxocarboxylic acid metabolism;Biosynthesis of amino acids	pfba	04_oleate	aerobic	pre-infection	4	3	0.0617	0.75
Arginine and proline metabolism;Biosynthesis of secondary metabolites;2-Oxocarboxylic acid metabolism;Biosynthesis of amino acids	pfba	05_hexacosanoate	aerobic	pre-infection	4	3	0.0993	0.75
Arginine and proline metabolism;Biosynthesis of secondary metabolites;2-Oxocarboxylic acid metabolism;Biosynthesis of amino acids	pfba	06_glucose_low	aerobic	biotrophic	4	3	0.0176	0.75
Arginine and proline metabolism;Biosynthesis of secondary metabolites;2-Oxocarboxylic acid metabolism;Biosynthesis of amino acids	pfba	06_glucose_low	anaerobic	biotrophic	4	3	0.0036	0.75
Arginine and proline metabolism;Biosynthesis of secondary metabolites;2-Oxocarboxylic acid metabolism;Biosynthesis of amino acids	pfba	07_sucrose_low	aerobic	biotrophic	4	3	0.0176	0.75
Arginine and proline metabolism;Biosynthesis of secondary metabolites;2-Oxocarboxylic acid metabolism;Biosynthesis of amino acids	pfba	07_sucrose_low	anaerobic	biotrophic	4	3	0.0036	0.75
Arginine and proline metabolism;Biosynthesis of secondary metabolites;2-Oxocarboxylic acid metabolism;Biosynthesis of amino acids	pfba	08_glutamate	aerobic	biotrophic	4	3	0.0515	0.75
Arginine and proline metabolism;Biosynthesis of secondary metabolites;2-Oxocarboxylic acid metabolism;Biosynthesis of amino acids	pfba	08_glutamate	anaerobic	biotrophic	4	0	0.0	0.0
Arginine and proline metabolism;Biosynthesis of secondary metabolites;2-Oxocarboxylic acid metabolism;Biosynthesis of amino acids	pfba	09_glutamine	aerobic	biotrophic	4	3	0.0515	0.75
Arginine and proline metabolism;Biosynthesis of secondary metabolites;2-Oxocarboxylic acid metabolism;Biosynthesis of amino acids	pfba	09_glutamine	anaerobic	biotrophic	4	0	0.0	0.0
Arginine and proline metabolism;Biosynthesis of secondary metabolites;2-Oxocarboxylic acid metabolism;Biosynthesis of amino acids	pfba	10_gaba	aerobic	biotrophic	4	3	0.0484	0.75
Arginine and proline metabolism;Biosynthesis of secondary metabolites;2-Oxocarboxylic acid metabolism;Biosynthesis of amino acids	pfba	11_galacturonate	aerobic	necrotrophic	4	3	0.072	0.75
Arginine and proline metabolism;Biosynthesis of secondary metabolites;2-Oxocarboxylic acid metabolism;Biosynthesis of amino acids	pfba	11_galacturonate	anaerobic	necrotrophic	4	3	0.0099	0.75
Arginine and proline metabolism;Biosynthesis of secondary metabolites;2-Oxocarboxylic acid metabolism;Biosynthesis of amino acids	pfba	12_xylose	aerobic	necrotrophic	4	3	0.0702	0.75
Arginine and proline metabolism;Biosynthesis of secondary metabolites;2-Oxocarboxylic acid metabolism;Biosynthesis of amino acids	pfba	12_xylose	anaerobic	necrotrophic	4	3	0.0072	0.75
Arginine and proline metabolism;Biosynthesis of secondary metabolites;2-Oxocarboxylic acid metabolism;Biosynthesis of amino acids	pfba	13_arabinose	aerobic	necrotrophic	4	3	0.0673	0.75
Arginine and proline metabolism;Biosynthesis of secondary metabolites;2-Oxocarboxylic acid metabolism;Biosynthesis of amino acids	pfba	14_maltose	aerobic	necrotrophic	4	3	0.1756	0.75
Arginine and proline metabolism;Biosynthesis of secondary metabolites;2-Oxocarboxylic acid metabolism;Biosynthesis of amino acids	pfba	14_maltose	anaerobic	necrotrophic	4	3	0.0357	0.75
Arginine and proline metabolism;Biosynthesis of secondary metabolites;2-Oxocarboxylic acid metabolism;Biosynthesis of amino acids	pfba	15_mixed_aa	aerobic	necrotrophic	4	0	0.0	0.0
Arginine and proline metabolism;Biosynthesis of secondary metabolites;2-Oxocarboxylic acid metabolism;Biosynthesis of amino acids	pfba	15_mixed_aa	anaerobic	necrotrophic	4	0	0.0	0.0
Arginine and proline metabolism;Biosynthesis of secondary metabolites;2-Oxocarboxylic acid metabolism;Biosynthesis of amino acids	pfba	16_pre_infection_mix	aerobic	cocktail	4	3	0.0334	0.75
Arginine and proline metabolism;Biosynthesis of secondary metabolites;2-Oxocarboxylic acid metabolism;Biosynthesis of amino acids	pfba	16_pre_infection_mix	anaerobic	cocktail	4	3	0.0024	0.75
Arginine and proline metabolism;Biosynthesis of secondary metabolites;2-Oxocarboxylic acid metabolism;Biosynthesis of amino acids	pfba	17_biotrophic_mix	aerobic	cocktail	4	3	0.0302	0.75
Arginine and proline metabolism;Biosynthesis of secondary metabolites;2-Oxocarboxylic acid metabolism;Biosynthesis of amino acids	pfba	17_biotrophic_mix	anaerobic	cocktail	4	3	0.0045	0.75
Arginine and proline metabolism;Biosynthesis of secondary metabolites;2-Oxocarboxylic acid metabolism;Biosynthesis of amino acids	pfba	18_necrotrophic_mix	aerobic	cocktail	4	0	0.0	0.0
Arginine and proline metabolism;Biosynthesis of secondary metabolites;2-Oxocarboxylic acid metabolism;Biosynthesis of amino acids	pfba	18_necrotrophic_mix	anaerobic	cocktail	4	0	0.0	0.0
Arginine and proline metabolism;Biosynthesis of secondary metabolites;Biosynthesis of amino acids	eflux	01_trehalose	aerobic	pre-infection	4	2	0.024	0.5
Arginine and proline metabolism;Biosynthesis of secondary metabolites;Biosynthesis of amino acids	eflux	01_trehalose	anaerobic	pre-infection	4	2	0.0049	0.5
Arginine and proline metabolism;Biosynthesis of secondary metabolites;Biosynthesis of amino acids	eflux	02_glycerol	aerobic	pre-infection	4	2	0.0068	0.5
Arginine and proline metabolism;Biosynthesis of secondary metabolites;Biosynthesis of amino acids	eflux	02_glycerol	anaerobic	pre-infection	4	2	0.0001	0.5
Arginine and proline metabolism;Biosynthesis of secondary metabolites;Biosynthesis of amino acids	eflux	03_palmitate	aerobic	pre-infection	4	2	0.0375	0.5
Arginine and proline metabolism;Biosynthesis of secondary metabolites;Biosynthesis of amino acids	eflux	04_oleate	aerobic	pre-infection	4	2	0.0422	0.5
Arginine and proline metabolism;Biosynthesis of secondary metabolites;Biosynthesis of amino acids	eflux	05_hexacosanoate	aerobic	pre-infection	4	2	0.0679	0.5
Arginine and proline metabolism;Biosynthesis of secondary metabolites;Biosynthesis of amino acids	eflux	06_glucose_low	aerobic	biotrophic	4	2	0.012	0.5
Arginine and proline metabolism;Biosynthesis of secondary metabolites;Biosynthesis of amino acids	eflux	06_glucose_low	anaerobic	biotrophic	4	2	0.0024	0.5
Arginine and proline metabolism;Biosynthesis of secondary metabolites;Biosynthesis of amino acids	eflux	07_sucrose_low	aerobic	biotrophic	4	2	0.012	0.5
Arginine and proline metabolism;Biosynthesis of secondary metabolites;Biosynthesis of amino acids	eflux	07_sucrose_low	anaerobic	biotrophic	4	2	0.0024	0.5
Arginine and proline metabolism;Biosynthesis of secondary metabolites;Biosynthesis of amino acids	eflux	08_glutamate	aerobic	biotrophic	4	2	0.0174	0.5
Arginine and proline metabolism;Biosynthesis of secondary metabolites;Biosynthesis of amino acids	eflux	08_glutamate	anaerobic	biotrophic	4	2	0.0001	0.5
Arginine and proline metabolism;Biosynthesis of secondary metabolites;Biosynthesis of amino acids	eflux	09_glutamine	aerobic	biotrophic	4	2	0.0174	0.5
Arginine and proline metabolism;Biosynthesis of secondary metabolites;Biosynthesis of amino acids	eflux	09_glutamine	anaerobic	biotrophic	4	2	0.0001	0.5
Arginine and proline metabolism;Biosynthesis of secondary metabolites;Biosynthesis of amino acids	eflux	10_gaba	aerobic	biotrophic	4	2	0.0163	0.5
Arginine and proline metabolism;Biosynthesis of secondary metabolites;Biosynthesis of amino acids	eflux	11_galacturonate	aerobic	necrotrophic	4	0	0.0	0.0
Arginine and proline metabolism;Biosynthesis of secondary metabolites;Biosynthesis of amino acids	eflux	11_galacturonate	anaerobic	necrotrophic	4	0	0.0	0.0
Arginine and proline metabolism;Biosynthesis of secondary metabolites;Biosynthesis of amino acids	eflux	12_xylose	aerobic	necrotrophic	4	2	0.048	0.5
Arginine and proline metabolism;Biosynthesis of secondary metabolites;Biosynthesis of amino acids	eflux	12_xylose	anaerobic	necrotrophic	4	2	0.0049	0.5
Arginine and proline metabolism;Biosynthesis of secondary metabolites;Biosynthesis of amino acids	eflux	13_arabinose	aerobic	necrotrophic	4	2	0.046	0.5
Arginine and proline metabolism;Biosynthesis of secondary metabolites;Biosynthesis of amino acids	eflux	14_maltose	aerobic	necrotrophic	4	2	0.12	0.5
Arginine and proline metabolism;Biosynthesis of secondary metabolites;Biosynthesis of amino acids	eflux	14_maltose	anaerobic	necrotrophic	4	2	0.0244	0.5
Arginine and proline metabolism;Biosynthesis of secondary metabolites;Biosynthesis of amino acids	eflux	15_mixed_aa	aerobic	necrotrophic	4	3	1.9079	0.75
Arginine and proline metabolism;Biosynthesis of secondary metabolites;Biosynthesis of amino acids	eflux	15_mixed_aa	anaerobic	necrotrophic	4	0	0.0	0.0
Arginine and proline metabolism;Biosynthesis of secondary metabolites;Biosynthesis of amino acids	eflux	16_pre_infection_mix	aerobic	cocktail	4	2	0.0228	0.5
Arginine and proline metabolism;Biosynthesis of secondary metabolites;Biosynthesis of amino acids	eflux	16_pre_infection_mix	anaerobic	cocktail	4	2	0.0017	0.5
Arginine and proline metabolism;Biosynthesis of secondary metabolites;Biosynthesis of amino acids	eflux	17_biotrophic_mix	aerobic	cocktail	4	2	0.0206	0.5
Arginine and proline metabolism;Biosynthesis of secondary metabolites;Biosynthesis of amino acids	eflux	17_biotrophic_mix	anaerobic	cocktail	4	2	0.0031	0.5
Arginine and proline metabolism;Biosynthesis of secondary metabolites;Biosynthesis of amino acids	eflux	18_necrotrophic_mix	aerobic	cocktail	4	3	0.5331	0.75
Arginine and proline metabolism;Biosynthesis of secondary metabolites;Biosynthesis of amino acids	eflux	18_necrotrophic_mix	anaerobic	cocktail	4	0	0.0	0.0
Arginine and proline metabolism;Biosynthesis of secondary metabolites;Biosynthesis of amino acids	gimme	01_trehalose	aerobic	pre-infection	4	2	0.0216	0.5
Arginine and proline metabolism;Biosynthesis of secondary metabolites;Biosynthesis of amino acids	gimme	01_trehalose	anaerobic	pre-infection	4	2	0.0044	0.5
Arginine and proline metabolism;Biosynthesis of secondary metabolites;Biosynthesis of amino acids	gimme	02_glycerol	aerobic	pre-infection	4	2	0.0061	0.5
Arginine and proline metabolism;Biosynthesis of secondary metabolites;Biosynthesis of amino acids	gimme	02_glycerol	anaerobic	pre-infection	4	2	0.0001	0.5
Arginine and proline metabolism;Biosynthesis of secondary metabolites;Biosynthesis of amino acids	gimme	03_palmitate	aerobic	pre-infection	4	2	0.0338	0.5
Arginine and proline metabolism;Biosynthesis of secondary metabolites;Biosynthesis of amino acids	gimme	04_oleate	aerobic	pre-infection	4	2	0.038	0.5
Arginine and proline metabolism;Biosynthesis of secondary metabolites;Biosynthesis of amino acids	gimme	05_hexacosanoate	aerobic	pre-infection	4	2	0.0611	0.5
Arginine and proline metabolism;Biosynthesis of secondary metabolites;Biosynthesis of amino acids	gimme	06_glucose_low	aerobic	biotrophic	4	2	0.0108	0.5
Arginine and proline metabolism;Biosynthesis of secondary metabolites;Biosynthesis of amino acids	gimme	06_glucose_low	anaerobic	biotrophic	4	2	0.0022	0.5
Arginine and proline metabolism;Biosynthesis of secondary metabolites;Biosynthesis of amino acids	gimme	07_sucrose_low	aerobic	biotrophic	4	2	0.0108	0.5
Arginine and proline metabolism;Biosynthesis of secondary metabolites;Biosynthesis of amino acids	gimme	07_sucrose_low	anaerobic	biotrophic	4	2	0.0022	0.5
Arginine and proline metabolism;Biosynthesis of secondary metabolites;Biosynthesis of amino acids	gimme	08_glutamate	aerobic	biotrophic	4	2	0.0156	0.5
Arginine and proline metabolism;Biosynthesis of secondary metabolites;Biosynthesis of amino acids	gimme	08_glutamate	anaerobic	biotrophic	4	2	0.0001	0.5
Arginine and proline metabolism;Biosynthesis of secondary metabolites;Biosynthesis of amino acids	gimme	09_glutamine	aerobic	biotrophic	4	2	0.0156	0.5
Arginine and proline metabolism;Biosynthesis of secondary metabolites;Biosynthesis of amino acids	gimme	09_glutamine	anaerobic	biotrophic	4	2	0.0001	0.5
Arginine and proline metabolism;Biosynthesis of secondary metabolites;Biosynthesis of amino acids	gimme	10_gaba	aerobic	biotrophic	4	2	0.0147	0.5
Arginine and proline metabolism;Biosynthesis of secondary metabolites;Biosynthesis of amino acids	gimme	11_galacturonate	aerobic	necrotrophic	4	2	0.0443	0.5
Arginine and proline metabolism;Biosynthesis of secondary metabolites;Biosynthesis of amino acids	gimme	11_galacturonate	anaerobic	necrotrophic	4	2	0.0061	0.5
Arginine and proline metabolism;Biosynthesis of secondary metabolites;Biosynthesis of amino acids	gimme	12_xylose	aerobic	necrotrophic	4	2	0.0432	0.5
Arginine and proline metabolism;Biosynthesis of secondary metabolites;Biosynthesis of amino acids	gimme	12_xylose	anaerobic	necrotrophic	4	2	0.0044	0.5
Arginine and proline metabolism;Biosynthesis of secondary metabolites;Biosynthesis of amino acids	gimme	13_arabinose	aerobic	necrotrophic	4	2	0.0414	0.5
Arginine and proline metabolism;Biosynthesis of secondary metabolites;Biosynthesis of amino acids	gimme	14_maltose	aerobic	necrotrophic	4	2	0.108	0.5
Arginine and proline metabolism;Biosynthesis of secondary metabolites;Biosynthesis of amino acids	gimme	14_maltose	anaerobic	necrotrophic	4	2	0.022	0.5
Arginine and proline metabolism;Biosynthesis of secondary metabolites;Biosynthesis of amino acids	gimme	15_mixed_aa	aerobic	necrotrophic	4	3	0.6199	0.75
Arginine and proline metabolism;Biosynthesis of secondary metabolites;Biosynthesis of amino acids	gimme	15_mixed_aa	anaerobic	necrotrophic	4	0	0.0	0.0
Arginine and proline metabolism;Biosynthesis of secondary metabolites;Biosynthesis of amino acids	gimme	16_pre_infection_mix	aerobic	cocktail	4	2	0.0206	0.5
Arginine and proline metabolism;Biosynthesis of secondary metabolites;Biosynthesis of amino acids	gimme	16_pre_infection_mix	anaerobic	cocktail	4	2	0.0015	0.5
Arginine and proline metabolism;Biosynthesis of secondary metabolites;Biosynthesis of amino acids	gimme	17_biotrophic_mix	aerobic	cocktail	4	2	0.0186	0.5
Arginine and proline metabolism;Biosynthesis of secondary metabolites;Biosynthesis of amino acids	gimme	17_biotrophic_mix	anaerobic	cocktail	4	2	0.0028	0.5
Arginine and proline metabolism;Biosynthesis of secondary metabolites;Biosynthesis of amino acids	gimme	18_necrotrophic_mix	aerobic	cocktail	4	2	0.2679	0.5
Arginine and proline metabolism;Biosynthesis of secondary metabolites;Biosynthesis of amino acids	gimme	18_necrotrophic_mix	anaerobic	cocktail	4	0	0.0	0.0
Arginine and proline metabolism;Biosynthesis of secondary metabolites;Biosynthesis of amino acids	imat	01_trehalose	aerobic	pre-infection	4	3	0.0096	0.75
Arginine and proline metabolism;Biosynthesis of secondary metabolites;Biosynthesis of amino acids	imat	01_trehalose	anaerobic	pre-infection	4	4	0.1064	1.0
Arginine and proline metabolism;Biosynthesis of secondary metabolites;Biosynthesis of amino acids	imat	02_glycerol	aerobic	pre-infection	4	3	0.0038	0.75
Arginine and proline metabolism;Biosynthesis of secondary metabolites;Biosynthesis of amino acids	imat	02_glycerol	anaerobic	pre-infection	4	3	0.003	0.75
Arginine and proline metabolism;Biosynthesis of secondary metabolites;Biosynthesis of amino acids	imat	03_palmitate	aerobic	pre-infection	4	4	0.0314	1.0
Arginine and proline metabolism;Biosynthesis of secondary metabolites;Biosynthesis of amino acids	imat	04_oleate	aerobic	pre-infection	4	4	0.0106	1.0
Arginine and proline metabolism;Biosynthesis of secondary metabolites;Biosynthesis of amino acids	imat	05_hexacosanoate	aerobic	pre-infection	4	4	42.536	1.0
Arginine and proline metabolism;Biosynthesis of secondary metabolites;Biosynthesis of amino acids	imat	06_glucose_low	aerobic	biotrophic	4	3	0.5471	0.75
Arginine and proline metabolism;Biosynthesis of secondary metabolites;Biosynthesis of amino acids	imat	06_glucose_low	anaerobic	biotrophic	4	3	0.0059	0.75
Arginine and proline metabolism;Biosynthesis of secondary metabolites;Biosynthesis of amino acids	imat	07_sucrose_low	aerobic	biotrophic	4	4	0.0106	1.0
