kegg_pathway_name	method	condition_id	O2	stage	n_rxn	n_active	total_flux	active_rate
2-Oxocarboxylic acid metabolism;Biosynthesis of amino acids	pfba	02_glycerol	aerobic	pre-infection	1	1	0.0061	1.0
2-Oxocarboxylic acid metabolism;Biosynthesis of amino acids	pfba	02_glycerol	anaerobic	pre-infection	1	1	0.0001	1.0
2-Oxocarboxylic acid metabolism;Biosynthesis of amino acids	pfba	03_palmitate	aerobic	pre-infection	1	1	0.0338	1.0
2-Oxocarboxylic acid metabolism;Biosynthesis of amino acids	pfba	04_oleate	aerobic	pre-infection	1	1	0.0379	1.0
2-Oxocarboxylic acid metabolism;Biosynthesis of amino acids	pfba	05_hexacosanoate	aerobic	pre-infection	1	1	0.0611	1.0
2-Oxocarboxylic acid metabolism;Biosynthesis of amino acids	pfba	06_glucose_low	aerobic	biotrophic	1	1	0.0108	1.0
2-Oxocarboxylic acid metabolism;Biosynthesis of amino acids	pfba	06_glucose_low	anaerobic	biotrophic	1	1	0.0022	1.0
2-Oxocarboxylic acid metabolism;Biosynthesis of amino acids	pfba	07_sucrose_low	aerobic	biotrophic	1	1	0.0108	1.0
2-Oxocarboxylic acid metabolism;Biosynthesis of amino acids	pfba	07_sucrose_low	anaerobic	biotrophic	1	1	0.0022	1.0
2-Oxocarboxylic acid metabolism;Biosynthesis of amino acids	pfba	08_glutamate	aerobic	biotrophic	1	1	0.0156	1.0
2-Oxocarboxylic acid metabolism;Biosynthesis of amino acids	pfba	08_glutamate	anaerobic	biotrophic	1	0	0.0	0.0
2-Oxocarboxylic acid metabolism;Biosynthesis of amino acids	pfba	09_glutamine	aerobic	biotrophic	1	1	0.0156	1.0
2-Oxocarboxylic acid metabolism;Biosynthesis of amino acids	pfba	09_glutamine	anaerobic	biotrophic	1	0	0.0	0.0
2-Oxocarboxylic acid metabolism;Biosynthesis of amino acids	pfba	10_gaba	aerobic	biotrophic	1	1	0.0147	1.0
2-Oxocarboxylic acid metabolism;Biosynthesis of amino acids	pfba	11_galacturonate	aerobic	necrotrophic	1	1	0.0442	1.0
2-Oxocarboxylic acid metabolism;Biosynthesis of amino acids	pfba	11_galacturonate	anaerobic	necrotrophic	1	1	0.0061	1.0
2-Oxocarboxylic acid metabolism;Biosynthesis of amino acids	pfba	12_xylose	aerobic	necrotrophic	1	1	0.0432	1.0
2-Oxocarboxylic acid metabolism;Biosynthesis of amino acids	pfba	12_xylose	anaerobic	necrotrophic	1	1	0.0044	1.0
2-Oxocarboxylic acid metabolism;Biosynthesis of amino acids	pfba	13_arabinose	aerobic	necrotrophic	1	1	0.0414	1.0
2-Oxocarboxylic acid metabolism;Biosynthesis of amino acids	pfba	14_maltose	aerobic	necrotrophic	1	1	0.1079	1.0
2-Oxocarboxylic acid metabolism;Biosynthesis of amino acids	pfba	14_maltose	anaerobic	necrotrophic	1	1	0.022	1.0
2-Oxocarboxylic acid metabolism;Biosynthesis of amino acids	pfba	15_mixed_aa	aerobic	necrotrophic	1	0	0.0	0.0
2-Oxocarboxylic acid metabolism;Biosynthesis of amino acids	pfba	15_mixed_aa	anaerobic	necrotrophic	1	0	0.0	0.0
2-Oxocarboxylic acid metabolism;Biosynthesis of amino acids	pfba	16_pre_infection_mix	aerobic	cocktail	1	1	0.0206	1.0
2-Oxocarboxylic acid metabolism;Biosynthesis of amino acids	pfba	16_pre_infection_mix	anaerobic	cocktail	1	1	0.0015	1.0
2-Oxocarboxylic acid metabolism;Biosynthesis of amino acids	pfba	17_biotrophic_mix	aerobic	cocktail	1	1	0.0186	1.0
2-Oxocarboxylic acid metabolism;Biosynthesis of amino acids	pfba	17_biotrophic_mix	anaerobic	cocktail	1	1	0.0028	1.0
2-Oxocarboxylic acid metabolism;Biosynthesis of amino acids	pfba	18_necrotrophic_mix	aerobic	cocktail	1	0	0.0	0.0
2-Oxocarboxylic acid metabolism;Biosynthesis of amino acids	pfba	18_necrotrophic_mix	anaerobic	cocktail	1	0	0.0	0.0
Alanine, aspartate and glutamate metabolism	eflux	01_trehalose	aerobic	pre-infection	1	1	0.001	1.0
Alanine, aspartate and glutamate metabolism	eflux	01_trehalose	anaerobic	pre-infection	1	0	0.0	0.0
Alanine, aspartate and glutamate metabolism	eflux	02_glycerol	aerobic	pre-infection	1	0	0.0	0.0
Alanine, aspartate and glutamate metabolism	eflux	02_glycerol	anaerobic	pre-infection	1	0	0.0	0.0
Alanine, aspartate and glutamate metabolism	eflux	03_palmitate	aerobic	pre-infection	1	1	0.0016	1.0
Alanine, aspartate and glutamate metabolism	eflux	04_oleate	aerobic	pre-infection	1	1	0.0018	1.0
Alanine, aspartate and glutamate metabolism	eflux	05_hexacosanoate	aerobic	pre-infection	1	1	0.0029	1.0
Alanine, aspartate and glutamate metabolism	eflux	06_glucose_low	aerobic	biotrophic	1	1	0.0005	1.0
