rxn_id	name	subsystem	ec	kcat	kcat_source	mw_kDa	cost	reversible	abund_PDA	abund_half	abund_onetenth
rxn13203_c0	3-Methyl-2-oxobutanoate decarboxylase_c0		1.8.3.2	3600000.0	brenda_fungal	119.37	0.033159011205555755	False	566643493.2038821	588777280.7804655	15485335.080656294
rxn09546_c0	lipid phosphate phosphatase, yeast-specific_c0		3.6.1.75	96.67	brenda_fungal	34.35	355.35816116685623	False			
TYRt2r_c0	TRANS-RXNBWI-115637.ce.maizeexp.TYR_TYR_c0			10.0	default_no_ec	68.35	6834.836073999983	True			
rxn13186_m0	S-adenosyl-L-methionine:2-hexaprenyl-3-methyl-5-hydroxy-6-methoxy-1,4-benzoquinone 3-O-methyltransferase_m0		4.1.1.130	3.6	brenda_ecfamily	27.55	7653.16628888889	False	69728152.16314916	88810226.12212731	85541921.16902022
rxn06441_c0	L-Leucine:tRNA(Leu) ligase (AMP-forming)_c0		6.1.1.4	37.5	brenda_fungal	125.63	3350.157785066687	False	138176764.85061508	213678717.93665552	188450907.5015158
PETOHM_SC_c0	Phosphatidylethanolamine N methyltransferase  yeast specific		3.1.1.31	31.8	brenda_any	148.29	4663.296900628946	False	79435414.34650677	88052644.05732265	84328325.3192753
rxn00126_c0	ATP:L-methionine S-adenosyltransferase_c0		2.5.1.6	3.307	brenda_any	43.88	13269.961215603238	False	492103749.9380918	416107963.91582066	395858303.9848885
PLBPC_SC_c0	Phospholipase B  phosphatidylcholine   yeast specific		3.1.1.5	1687.3	brenda_any	167.27	99.13238851419476	False	50223480.00845227	52006260.83302518	118960955.86177471
rxn06300_c0	L-Alanine:tRNA(Ala) ligase (AMP-forming)_c0		6.1.1.7	83.8	brenda_any	122.55	1462.4030696897453	False	203838486.7766639	242687193.9532221	285366854.7876673
rxn09559_c0	3',5'-cyclic-nucleotide phosphodiesterase 2_c0		3.1.4.17	21.0	brenda_fungal	95.13	4530.222468571445	False	84956014.09926973	44663911.39941445	99848193.4862456
rxn09690_c0	TRANS-RXNBWI-115637.ce.maizeexp.CYS_CYS_c0			10.0	default_no_ec	68.35	6834.836073999983	True			
rxn06600_m0	S-aminomethyldihydrolipoylprotein:(6S)-tetrahydrofolate aminomethyltransferase (ammonia-forming)_m0		1.8.1.4	794.5	brenda_any	18.79	23.65393686595344	False	590598192.0832373	553279477.6210555	371455078.70345
rxn13930_c0	FMN reductase_c0			10.0	default_no_ec	22.23	2222.5417339999995	False	148718117.99460793	255807903.03524467	254066131.40305504
rxn08265_c0	L-carnitine transport via diffusion (extracellular to periplasm)_c0			10.0	default_no_ec	63.31	6331.172023999976	True			
rxn01362_c0	Orotidine-5'-phosphate:diphosphate phospho-alpha-D-ribosyl-transferase_c0		4.1.1.23	570.0	brenda_fungal	25.29	44.361168140350856	True	173794223.56420064	183716135.93584695	277359130.81871766
rxn08440_x0	lauroyl-CoA hydrolase_x0			10.0	default_no_ec	38.53	3852.966353999995	False			
rxn00452_c0	S-Adenosyl-L-methionine:L-homocysteine S-methyltransferase_c0			10.0	default_no_ec	38.88	3887.597463999997	False	75340321.97164352	78909163.59443648	122481796.02377331
rxn03137_c0	10-Formyltetrahydrofolate:5'-phosphoribosyl-5-amino-4-imidazolecarboxamide formyltransferase_c0		2.1.2.3	7.09	brenda_any	64.82	9142.953207334254	True	341950406.6278683	349105198.22459006	294824701.84378207
SACCD1_c0	Saccharopine dehydrogenase  NADP  L glutamate forming 		1.5.1.10	10.35	brenda_ecfamily	48.97	4731.5136560386345	True	397801500.1851813	455977825.5662246	305606757.6541153
rxn09467_x0	Fatty acid oxidation_x0		1.1.1.100	117.5	brenda_fungal	30.2	256.99342161702134	False	1843722950.6461	1270541210.148279	636789975.42434
rxn13234_c0	C-22 sterol desaturase (NAD)_c0		1.6.2.2	800.0	brenda_any	33.87	42.33705892499997	False	466865252.03323203	459415140.2572968	454991666.5902817
rxn08436_c0	RXN-9549.c_c0		2.7.8.7	1.161	brenda_any	203.65	175405.13844961347	True	163046032.12912548	611307669.1863863	48967762.92428113
rxn05318_c0	TRANS-RXN-203.ce_c0			10.0	default_no_ec	48.61	4861.166323999992	False			
rxn09442_m0	fatty-acyl-ACP synthase (n-C10:0ACP), mitochondrial_m0		1.1.1.100	117.5	brenda_fungal	15.14	128.828143319149	False	1769573620.0478923	2696457671.113977	1637069584.806687
rxn27497_m0	3-carboxy-3-hydroxy-4-methylpentanoate 3-methyl-2-oxobutanoate-lyase (CoA-acetylating)_m0		2.3.3.13	13.79	brenda_fungal	70.63	5121.603411167503	False	172821144.7255746	141845143.9759252	127875555.10673098
