ec	kcat	tier	n	n_fungal	n_any
1.2.3.15	34.1	brenda_fungal	4	3	4
1.2.3.3	27.8	brenda_any	9	0	9
1.2.3.4	72.0	brenda_any	3	0	3
1.2.4.1	14.49	brenda_any	45	0	45
1.2.4.2	19.75	brenda_any	26	0	26
1.2.4.4	5.15	brenda_any	26	0	26
1.2.5.1	739.8	brenda_any	3	0	3
1.2.5.2	22000.0	brenda_any	1	0	1
1.2.5.3	84.86	brenda_any	3	0	3
1.2.7.1	100.0	brenda_any	7	0	7
1.2.7.10	0.09	brenda_any	1	0	1
1.2.7.11	17.8	brenda_any	27	0	27
1.2.7.12	640.0	brenda_any	1	0	1
1.2.7.3	24.7	brenda_any	11	0	11
1.2.7.4	2375.0	brenda_any	16	0	16
1.2.7.5	881.0	brenda_any	24	0	24
1.2.7.6	5.57	brenda_any	1	0	1
1.2.7.7	4.601	brenda_any	24	0	24
1.2.98.1	5900.0	brenda_any	6	0	6
1.2.99.6	950.0	brenda_any	21	0	21
1.2.99.7	3.92	brenda_any	17	0	17
1.2.99.8	11.12	brenda_any	15	0	15
1.20.1.1	5.8424	brenda_any	93	0	93
1.20.2.1	28.22	brenda_any	2	0	2
1.20.4.1	0.268	brenda_any	3	0	3
1.20.4.3	104.011	brenda_any	8	0	8
1.20.4.4	2.939	brenda_any	28	0	28
1.20.9.1	12962.7	brenda_any	2	0	2
1.20.99.1	27.393	brenda_any	12	0	12
1.21.1.1	0.5081	brenda_any	34	0	34
1.21.3.1	4.1	brenda_fungal	1	1	1
1.21.3.10	2.267	brenda_fungal	20	4	20
1.21.3.3	8.66	brenda_any	19	0	19
1.21.3.7	0.656	brenda_any	5	0	5
1.21.3.8	0.174	brenda_any	2	0	2
1.21.4.5	29.05	brenda_any	6	0	6
1.21.99.4	0.001	brenda_any	2	0	2
1.21.99.5	18.51	brenda_any	2	0	2
1.23.1.1	2.42	brenda_any	8	0	8
1.23.1.2	0.655	brenda_any	1	0	1
1.23.1.3	0.714	brenda_any	3	0	3
1.23.1.4	0.197	brenda_any	1	0	1
1.3.1.1	0.647	brenda_any	4	0	4
1.3.1.10	130.2	brenda_any	11	0	11
1.3.1.100	38.5	brenda_fungal	1	1	1
1.3.1.102	3.148	brenda_any	35	0	35
1.3.1.104	0.0258	brenda_any	2	0	2
1.3.1.105	2.315	brenda_any	6	0	6
1.3.1.109	2.0	brenda_any	1	0	1
1.3.1.117	0.0038	brenda_any	3	0	3
1.3.1.118	6.586	brenda_any	4	0	4
1.3.1.119	27.8	brenda_any	4	0	4
1.3.1.12	3.09	brenda_fungal	49	2	49
1.3.1.122	5.459	brenda_any	12	0	12
1.3.1.123	1.66	brenda_any	6	0	6
1.3.1.124	2.1	brenda_any	1	0	1
1.3.1.125	17.35	brenda_any	2	0	2
1.3.1.13	19.35	brenda_any	18	0	18
1.3.1.14	43.07	brenda_any	12	0	12
1.3.1.15	8.33	brenda_any	1	0	1
1.3.1.2	0.808	brenda_any	17	0	17
1.3.1.20	89.4	brenda_any	72	0	72
1.3.1.24	17.35	brenda_any	26	0	26
1.3.1.27	1.276	brenda_any	4	0	4
1.3.1.28	25.3	brenda_any	11	0	11
1.3.1.29	169.7	brenda_any	18	0	18
1.3.1.3	0.661	brenda_any	52	0	52
1.3.1.31	2883.86	brenda_any	12	0	12
1.3.1.32	116.97	brenda_any	20	0	20
1.3.1.33	0.164	brenda_any	64	0	64
1.3.1.34	12.1	brenda_any	7	0	7
1.3.1.38	2.864	brenda_any	2	0	2
1.3.1.42	12.11	brenda_any	6	0	6
1.3.1.44	92.0	brenda_any	46	0	46
1.3.1.45	0.1238	brenda_any	7	0	7
1.3.1.48	91.14	brenda_any	28	0	28
1.3.1.56	0.796	brenda_any	3	0	3
1.3.1.6	509.0	brenda_any	22	0	22
1.3.1.7	12.0117	brenda_any	2	0	2
1.3.1.73	9.38	brenda_any	2	0	2
1.3.1.74	74.3	brenda_any	38	0	38
1.3.1.75	0.66	brenda_any	8	0	8
1.3.1.77	26.2424	brenda_any	13	0	13
1.3.1.78	74.82	brenda_any	3	0	3
1.3.1.79	2.924	brenda_any	3	0	3
1.3.1.81	1.8	brenda_any	2	0	2
1.3.1.82	1.3	brenda_any	2	0	2
1.3.1.84	74.0	brenda_any	4	0	4
1.3.1.85	83.3	brenda_any	30	0	30
1.3.1.86	31.6	brenda_any	4	0	4
1.3.1.9	28.55	brenda_any	76	0	76
1.3.1.92	2.56	brenda_any	5	0	5
1.3.1.95	24.2	brenda_any	4	0	4
1.3.2.3	134.0	brenda_any	22	0	22
1.3.2.4	509.0	brenda_any	50	0	50
1.3.3.10	0.7865	brenda_any	8	0	8
1.3.3.12	0.2726	brenda_any	2	0	2
1.3.3.13	0.6663	brenda_any	2	0	2
1.3.3.15	0.454	brenda_any	4	0	4
1.3.3.17	3.5	brenda_any	1	0	1
1.3.3.3	0.103	brenda_any	35	0	35
