condition	rxn_id	name	subsystem	ec	kcat	mw_kDa	flux	ceiling	utilization	saturated
onetenth	rxn23534_r0	3-oxoarachidoyl-CoA-reductase		1.1.1.62	4.08	37.45	-0.01594	0.73892	0.0216	False
onetenth	rxn23531_r0	3-oxo-behenoyl-CoA-reductase		1.1.1.62	4.08	37.45	-0.01594	0.73892	0.0216	False
onetenth	rxn23535_r0	3-oxo-lignoceronyl-CoA-reductase		1.1.1.62	4.08	37.45	-0.01594	0.73892	0.0216	False
onetenth	rxn19046_r0	trans-arachidon-2-enoyl-CoA reductase		1.3.1.93	1.3	34.5	-0.01594	0.75719	0.0211	False
onetenth	rxn19044_r0	trans-docosan-2-enoyl-CoA reductase		1.3.1.93	1.3	34.5	-0.01594	0.75719	0.0211	False
onetenth	rxn19045_r0	trans-lignocero-2-enoyl-CoA reductase		1.3.1.93	1.3	34.5	-0.01594	0.75719	0.0211	False
onetenth	rxn08173_m0	F(1)-ATPase		7.1.2.1	3.0	8.0	1.60424	76.56322	0.021	False
onetenth	rxn23536_r0	3-hydroxy-lignoceroyl-CoA dehydratase		1.1.1.62	4.08	37.45	-0.01488	0.73892	0.0201	False
onetenth	rxn09606_r0	Ceramide-1 synthase (sphinganine + C26:0-CoA), ER_r0		3.5.1.-	5.84	32.35	0.01488	0.75387	0.0197	False
onetenth	rxn19047_r0	trans-cerot-2-enoyl-CoA reductase		1.3.1.93	1.3	34.5	-0.01488	0.75719	0.0196	False
onetenth	rxn00609_c0	myo-Inositol-1-phosphate synthase_c0		5.5.1.4	4.02	35.08	-0.02413	1.41674	0.017	False
onetenth	rxn01476_c0	6-Phospho-D-glucono-1,5-lactone lactonohydrolase_c0		3.1.1.31	31.8	28.39	0.20598	14.08227	0.0146	False
onetenth	rxn00616_m0	CustomReaction_m0		1.1.5.3	33.3	73.48	0.06001	4.37375	0.0137	False
onetenth	rxn02504_m0	2-amino-4-hydroxy-6-(D-erythro-1,2,3-trihydroxypropyl)-7,8-dihydropteridine glycolaldehyde-lyase_m0		2.7.6.3	0.17	51.54	0.00022	0.01602	0.0135	False
onetenth	rxn02200_m0	2-amino-4-hydroxy-6-hydroxymethyl-7,8-dihydropteridine:4-aminobenzoate 2-amino-4-hydroxydihydropteridine-6-methenyltransferase_m0		2.7.6.3	0.17	51.54	0.00022	0.01602	0.0135	False
onetenth	rxn09608_c0	Ceramide-1 hydroxylase (26C)_c0		1.14.18.5	12.7	42.38	0.01452	1.07281	0.0135	False
onetenth	rxn00175_c0	Acetate:CoA ligase (AMP-forming)_c0		6.2.1.1	65.64	56.32	0.34933	26.48767	0.0132	False
onetenth	rxn01255_c0	5-O-(1-Carboxyvinyl)-3-phosphoshikimate phosphate-lyase (chorismate-forming)_c0		4.2.3.5	0.87	43.7	0.00289	0.21835	0.0132	False
onetenth	rxn01101_c0	3-Phospho-D-glycerate:NAD+ 2-oxidoreductase_c0		6.3.5.7	1.7	30.62	0.01582	1.24905	0.0127	False
onetenth	rxn00790_c0	5-phosphoribosylamine:diphosphate phospho-alpha-D-ribosyltransferase (glutamate-amidating)_c0		2.4.2.14	2.0	61.24	0.00189	0.15388	0.0123	False
onetenth	rxn09459_c0	Palmitoyl-CoA desaturase (n-C16:0CoA -> n-C16:1CoA)_c0		1.14.19.1	0.455	53.87	0.0003	0.02476	0.0121	False
