rxn_id	name	compartment	direction	lower_bound	upper_bound	equation_cpd	equation_name	ec_number	gpr	subsystem	n_metabolites	flux
rxn09750_c0	Transport of glutamate, mitochondrial_m0	c0;m0	=>	0.0	999999.0	cpd00023_c0 + cpd15275_m0 --> cpd00023_m0 + cpd15275_c0	L-Glutamate_c0 + hydroxide ion_m0 --> L-Glutamate_m0 + hydroxide ion_c0				4	0.2916216196657414
rxn09427_c0	fatty-acyl-CoA synthase (n-C18:0CoA)_c0	c0	=>	0.0	999999.0	2 cpd00005_c0 + 3 cpd00067_c0 + cpd00070_c0 + cpd00134_c0 --> cpd00001_c0 + 2 cpd00006_c0 + cpd00010_c0 + cpd00011_c0 + cpd00327_c0	2 NADPH_c0 + 3 H+_c0 + Malonyl-CoA_c0 + Palmitoyl-CoA_c0 --> H2O_c0 + 2 NADP_c0 + CoA_c0 + CO2_c0 + strcoa_c0		gene_10612 or gene_12865 or gene_313 or gene_10589		9	0.28029917500300516
rxn00948_c0	Palmitoyl-CoA:L-serine C-palmitoyltransferase (decarboxylating)_c0	c0	=>	0.0	999999.0	cpd00054_c0 + cpd00067_c0 + cpd00134_c0 --> cpd00010_c0 + cpd00011_c0 + cpd01879_c0	L-Serine_c0 + H+_c0 + Palmitoyl-CoA_c0 --> CoA_c0 + CO2_c0 + 3-Dehydrosphinganine_c0		gene_7097 or gene_11973		6	0.26899198959948695
rxn02134_c0	Sphinganine:NADP+ 3-oxidoreductase_c0	c0	=>	0.0	999999.0	cpd00005_c0 + cpd00067_c0 + cpd01879_c0 --> cpd00006_c0 + cpd00623_c0	NADPH_c0 + H+_c0 + 3-Dehydrosphinganine_c0 --> NADP_c0 + Sphinganine_c0		gene_11003		5	0.26899198959948695
rxn11720_c0	R08185_c0	c0	<=	-1000.0	0.0	cpd00001_c0 + cpd29705_c0 <-- cpd00010_c0 + 2 cpd00067_c0 + cpd05235_c0	H2O_c0 + tetracosanoyl-CoA  (n-C24:0CoA)_c0 <-- CoA_c0 + 2 H+_c0 + tetracosanoate_c0				5	-0.26899198959948695
rxn09424_c0	fatty acid synthase (n-C24:0), lumped reaction_c0	c0	=>	0.0	1000.0	6 cpd00005_c0 + 9 cpd00067_c0 + 3 cpd00070_c0 + cpd01080_c0 --> 3 cpd00001_c0 + 6 cpd00006_c0 + 3 cpd00010_c0 + 3 cpd00011_c0 + cpd05235_c0	6 NADPH_c0 + 9 H+_c0 + 3 Malonyl-CoA_c0 + ocdca_c0 --> 3 H2O_c0 + 6 NADP_c0 + 3 CoA_c0 + 3 CO2_c0 + tetracosanoate_c0				9	0.26899198959948695
rxn08454_c0	fatty-acid-CoA ligase (octadecanoate transport via vectoral Co-A coupling)_c0	c0	<=>	-999999.0	999999.0	cpd00002_c0 + cpd00010_c0 + cpd01080_c0 <=> cpd00012_c0 + cpd00018_c0 + cpd00327_c0	ATP_c0 + CoA_c0 + ocdca_c0 <=> PPi_c0 + AMP_c0 + strcoa_c0		gene_1869		6	-0.2689919895994869
rxn09400_c0	R06020_c0	c0	=>	0.0	1000.0	cpd00026_c0 --> cpd00014_c0 + cpd00067_c0 + cpd11791_c0	UDP-glucose_c0 --> UDP_c0 + H+_c0 + 1,3-beta-Glucan_c0		gene_12844 or gene_3539 or gene_10353 or gene_3298 or gene_10989		4	0.2597448177310226
rxn00198_m0	Isocitrate:NADP+ oxidoreductase (decarboxylating)_m0	m0	<=>	-1000.0	1000.0	cpd00006_m0 + cpd00260_m0 <=> cpd00005_m0 + cpd00011_m0 + cpd00024_m0	NADP_m0 + Isocitrate_m0 <=> NADPH_m0 + CO2_m0 + 2-Oxoglutarate_m0		gene_11358		5	-0.2560520527273134
rxn09779_c0	Tricarboxylate transport protein_m0	c0;m0	<=>	-1000.0	1000.0	cpd00130_m0 + cpd00137_c0 <=> cpd00130_c0 + cpd00137_m0	L-Malate_m0 + Citrate_c0 <=> L-Malate_c0 + Citrate_m0		gene_9679 or gene_4406		4	-0.25605205272731335
