rxn_id	name	old_gpr	new_gpr	kept_gene_count	mapped_from_ch63r	unmapped_ch63r_removed	foreign_tokens_removed	curated_ch63r_from_excel	foreign_tokens_in_gpr	weak_matches_used
rxn23554_r0	3-oxo-behenoyl-CoA-synthase	NP_009963.1 and NP_013476.3	gene_3062 or gene_12844 or gene_6755	0	3	0	2	CH63R_02477;CH63R_04116;CH63R_06044	NP_009963.1;NP_013476.3	
rxn23531_r0	3-oxo-behenoyl-CoA-reductase	NP_009717.1	gene_5506	0	1	0	1	CH63R_13892	NP_009717.1	
rxn22098_r0	trans-arachidon-2-enoyl-CoA reductase	NP_012438.1	gene_7317 or gene_6410	0	2	0	1	CH63R_00275;CH63R_03084	NP_012438.1	
rxn19044_r0	trans-docosan-2-enoyl-CoA reductase	NP_010269.1	gene_9021	0	1	0	1	CH63R_10413	NP_010269.1	
rxn23559_r0	3-oxo-lignoceronyl-CoA-synthase	NP_013476.3	gene_3062 or gene_12844 or gene_6755	0	3	0	1	CH63R_02477;CH63R_04116;CH63R_06044	NP_013476.3	
rxn23535_r0	3-oxo-lignoceronyl-CoA-reductase	NP_009717.1	gene_5506	0	1	0	1	CH63R_13892	NP_009717.1	
rxn22099_r0	3-hydroxy-lignoceroyl-CoA dehydratase	NP_012438.1	gene_7317 or gene_6410	0	2	0	1	CH63R_00275;CH63R_03084	NP_012438.1	
rxn19045_r0	trans-lignocero-2-enoyl-CoA reductase	NP_010269.1	gene_9021	0	1	0	1	CH63R_10413	NP_010269.1	
rxn23557_r0	3-oxo-cerotoyl-CoA-synthase	NP_013476.3	gene_3062 or gene_12844 or gene_6755	0	3	0	1	CH63R_02477;CH63R_04116;CH63R_06044	NP_013476.3	
rxn23536_r0	3-hydroxy-lignoceroyl-CoA dehydratase	NP_009717.1	gene_5506	0	1	0	1	CH63R_13892	NP_009717.1	
rxn22100_r0	3-hydroxy-cerotoyl-CoA dehydratase	NP_012438.1	gene_7317 or gene_6410	0	2	0	1	CH63R_00275;CH63R_03084	NP_012438.1	
rxn09599_c0	Inositol phosphorylceramide synthase (ceramide-1, 24C), yeast-specific	NP_012922.1	gene_8702	0	1	0	1	CH63R_01250	NP_012922.1	
rxn09598_c0	Inositol phosphorylceramide synthase (ceramide-1, 26C), yeast-specific	NP_012922.1	gene_8702	0	1	0	1	CH63R_01250	NP_012922.1	
rxn09597_c0	Inositol phosphorylceramide synthase (ceramide-2, 24C), yeast-specific	NP_012922.1	gene_8702	0	1	0	1	CH63R_01250	NP_012922.1	
rxn09596_c0	Inositol phosphoryceramide synthase (ceramide-2, 26C), yeast-specific	NP_012922.1	gene_8702	0	1	0	1	CH63R_01250	NP_012922.1	
rxn09595_c0	Inositol phosphorylceramide synthase (ceramide-3, 24C), yeast-specific	NP_012922.1	gene_8702	0	1	0	1	CH63R_01250	NP_012922.1	
rxn09594_c0	Inositol phosphorylceramide synthase (ceramide-3, 26C), yeast-specific	NP_012922.1	gene_8702	0	1	0	1	CH63R_01250	NP_012922.1	
rxn09593_c0	mannose-(inositol-P)2-ceramide synthase (ceramide-1, 24C), yeast-specific	NP_010357.3	gene_8702	0	1	0	1	CH63R_01250	NP_010357.3	
rxn09592_c0	mannose-(inositol-P)2-ceramide synthase (ceramide-1, 26C), yeast-specific	NP_010357.3	gene_8702	0	1	0	1	CH63R_01250	NP_010357.3	
rxn09591_c0	mannose-(inositol-P)2-ceramide synthase (ceramide-2, 26C), yeast specific	NP_010357.3	gene_8702	0	1	0	1	CH63R_01250	NP_010357.3	
rxn09590_c0	mannose-(inositol-P)2-ceramide synthase (ceramide-2, 24C), yeast-specific	NP_010357.3	gene_8702	0	1	0	1	CH63R_01250	NP_010357.3	
rxn09589_c0	mannose-(inositol-P)2-ceramide synthase (ceramide-3, 24C), yeast specific	NP_010357.3	gene_8702	0	1	0	1	CH63R_01250	NP_010357.3	
rxn09588_c0	mannose-(inositol-P)2-ceramide synthase (ceramide-3, 26C), yeast-specific	NP_010357.3	gene_8702	0	1	0	1	CH63R_01250	NP_010357.3	
rxn09548_c0	glycerol 3-phosphate acyltransferase (glycerol 3-phosphate), yeast-specific		gene_8048	0	1	0	0	CH63R_08178		
rxn09555_c0	 1-Acyl-glycerol-3-phosphate acyltransferase, yeast-specific		gene_12907 or gene_5300 or gene_4408	0	3	0	0	CH63R_02610;CH63R_03112;CH63R_13104		
rxn01071_c0	ATP:ethanolamine O-phosphotransferase_c0	YDR147W	gene_11004	0	1	0	1	CH63R_11833	YDR147W	
rxn09543_c0	Phosphatidylethanolamine N methyltransferase yeast specific		gene_4508	0	1	0	0	CH63R_07742		
rxn09545_c0	methylene-fatty-acyl-phospholipid synthase, yeast-specific_c0	YJR073C	gene_9731	0	1	0	1	CH63R_08205	YJR073C	
rxn09535_c0	Phosphatidyl-N-methylethanolamine N-methyltransferase, yeast-specific_c0	YJR073C	gene_9731	0	1	0	1	CH63R_08205	YJR073C	
rxn39089_c0	phosphatidylserine synthase, yeast-specific, mitochondrial_c0	YER026C	gene_11289	0	1	0	1	CH63R_01151	YER026C	
rxn09552_c0	diacylglycerol cholinephosphotransferase, yeast-specific_c0	YHR123W or YNL130C	gene_4879 or gene_7353	0	2	0	2	CH63R_05917;CH63R_07494	YHR123W;YNL130C	
rxn09536_c0	phosphatidylinositol synthase, yeast-specific	NP_015438.1	gene_10850	0	1	0	1	CH63R_12903	NP_015438.1	
rxn09537_c0	phosphatidylinositol 4-kinase, yeast-specific	NP_014132.1 and NP_013408.1	gene_1982 or gene_5035 or gene_1865	0	3	0	2	CH63R_02265;CH63R_04598;CH63R_11814	NP_014132.1;NP_013408.1	
