pathway	condition_id	stage	O2	sum_abs_flux	n_active	n_total	active_rate
Nucleotide metabolism	09_glutamine	biotrophic	anaerobic	0.0	0	21	0.0
Other / unassigned	09_glutamine	biotrophic	anaerobic	0.0	0	576	0.0
Oxidative phosphorylation / ETC	09_glutamine	biotrophic	anaerobic	0.0	0	24	0.0
Pectin / D-galacturonate (Ashwell)	09_glutamine	biotrophic	anaerobic	0.0	0	6	0.0
Pentose phosphate pathway	09_glutamine	biotrophic	anaerobic	0.0	0	20	0.0
Pentose-sugar catabolism	09_glutamine	biotrophic	anaerobic	0.0	0	6	0.0
Sink / demand	09_glutamine	biotrophic	anaerobic	0.0	0	1	0.0
Storage (glycogen / trehalose)	09_glutamine	biotrophic	anaerobic	0.0	0	7	0.0
Sulfur / nitrogen assimilation	09_glutamine	biotrophic	anaerobic	0.0	0	3	0.0
TCA cycle	09_glutamine	biotrophic	anaerobic	0.0	0	34	0.0
Transport (inter-compartmental)	09_glutamine	biotrophic	anaerobic	0.0	0	256	0.0
β-oxidation (peroxisomal)	09_glutamine	biotrophic	anaerobic	0.0	0	54	0.0
Amino-acid metabolism	10_gaba	biotrophic	aerobic	7.078	52	162	0.321
Biomass	10_gaba	biotrophic	aerobic	0.05	1	6	0.167
Cell-wall polysaccharide	10_gaba	biotrophic	aerobic	0.114	9	18	0.5
Cofactor / vitamin biosynthesis	10_gaba	biotrophic	aerobic	1.383	39	117	0.333
Compatible solute / mannitol	10_gaba	biotrophic	aerobic	0.02	2	2	1.0
Exchange	10_gaba	biotrophic	aerobic	12.397	10	170	0.059
Fatty-acid biosynthesis	10_gaba	biotrophic	aerobic	0.0	0	38	0.0
GAM / maintenance	10_gaba	biotrophic	aerobic	0.0	0	1	0.0
Glycolysis / gluconeogenesis	10_gaba	biotrophic	aerobic	7.533	22	58	0.379
Lipid / membrane	10_gaba	biotrophic	aerobic	0.204	13	35	0.371
Melanin / DHN	10_gaba	biotrophic	aerobic	0.0	7	7	1.0
Nucleotide metabolism	10_gaba	biotrophic	aerobic	0.335	8	21	0.381
Other / unassigned	10_gaba	biotrophic	aerobic	36.89	212	576	0.368
Oxidative phosphorylation / ETC	10_gaba	biotrophic	aerobic	22.389	8	24	0.333
Pectin / D-galacturonate (Ashwell)	10_gaba	biotrophic	aerobic	0.0	0	6	0.0
Pentose phosphate pathway	10_gaba	biotrophic	aerobic	3.827	11	20	0.55
Pentose-sugar catabolism	10_gaba	biotrophic	aerobic	0.0	0	6	0.0
Sink / demand	10_gaba	biotrophic	aerobic	0.0	1	1	1.0
Storage (glycogen / trehalose)	10_gaba	biotrophic	aerobic	0.016	2	7	0.286
Sulfur / nitrogen assimilation	10_gaba	biotrophic	aerobic	0.004	1	3	0.333
TCA cycle	10_gaba	biotrophic	aerobic	7.122	14	34	0.412
Transport (inter-compartmental)	10_gaba	biotrophic	aerobic	34.501	55	256	0.215
β-oxidation (peroxisomal)	10_gaba	biotrophic	aerobic	0.0	0	54	0.0
Amino-acid metabolism	11_galacturonate	necrotrophic	aerobic	3.663	50	162	0.309
