pathway	condition_id	stage	O2	sum_abs_flux	n_active	n_total	active_rate
Amino-acid metabolism	01_trehalose	pre-infection	aerobic	1.334	51	162	0.315
Biomass	01_trehalose	pre-infection	aerobic	0.073	1	6	0.167
Cell-wall polysaccharide	01_trehalose	pre-infection	aerobic	0.167	8	18	0.444
Cofactor / vitamin biosynthesis	01_trehalose	pre-infection	aerobic	1.207	39	117	0.333
Compatible solute / mannitol	01_trehalose	pre-infection	aerobic	0.029	2	2	1.0
Exchange	01_trehalose	pre-infection	aerobic	13.13	9	170	0.053
Fatty-acid biosynthesis	01_trehalose	pre-infection	aerobic	0.0	0	38	0.0
GAM / maintenance	01_trehalose	pre-infection	aerobic	0.0	0	1	0.0
Glycolysis / gluconeogenesis	01_trehalose	pre-infection	aerobic	23.613	28	58	0.483
Lipid / membrane	01_trehalose	pre-infection	aerobic	0.211	11	35	0.314
Melanin / DHN	01_trehalose	pre-infection	aerobic	0.0	7	7	1.0
Nucleotide metabolism	01_trehalose	pre-infection	aerobic	0.489	8	21	0.381
Other / unassigned	01_trehalose	pre-infection	aerobic	40.399	206	576	0.358
Oxidative phosphorylation / ETC	01_trehalose	pre-infection	aerobic	20.375	8	24	0.333
Pectin / D-galacturonate (Ashwell)	01_trehalose	pre-infection	aerobic	0.0	0	6	0.0
Pentose phosphate pathway	01_trehalose	pre-infection	aerobic	4.227	13	20	0.65
Pentose-sugar catabolism	01_trehalose	pre-infection	aerobic	0.0	0	6	0.0
Sink / demand	01_trehalose	pre-infection	aerobic	0.001	1	1	1.0
Storage (glycogen / trehalose)	01_trehalose	pre-infection	aerobic	2.02	3	7	0.429
Sulfur / nitrogen assimilation	01_trehalose	pre-infection	aerobic	0.006	1	3	0.333
TCA cycle	01_trehalose	pre-infection	aerobic	3.173	14	34	0.412
Transport (inter-compartmental)	01_trehalose	pre-infection	aerobic	28.901	57	256	0.223
β-oxidation (peroxisomal)	01_trehalose	pre-infection	aerobic	0.0	0	54	0.0
Amino-acid metabolism	01_trehalose	pre-infection	anaerobic	1.605	49	162	0.302
Biomass	01_trehalose	pre-infection	anaerobic	0.015	1	6	0.167
Cell-wall polysaccharide	01_trehalose	pre-infection	anaerobic	0.068	9	18	0.5
Cofactor / vitamin biosynthesis	01_trehalose	pre-infection	anaerobic	4.125	41	117	0.35
Compatible solute / mannitol	01_trehalose	pre-infection	anaerobic	0.006	2	2	1.0
Exchange	01_trehalose	pre-infection	anaerobic	8.105	12	170	0.071
Fatty-acid biosynthesis	01_trehalose	pre-infection	anaerobic	0.0	0	38	0.0
GAM / maintenance	01_trehalose	pre-infection	anaerobic	0.0	0	1	0.0
Glycolysis / gluconeogenesis	01_trehalose	pre-infection	anaerobic	31.97	26	58	0.448
Lipid / membrane	01_trehalose	pre-infection	anaerobic	0.043	11	35	0.314
Melanin / DHN	01_trehalose	pre-infection	anaerobic	0.0	7	7	1.0
Nucleotide metabolism	01_trehalose	pre-infection	anaerobic	0.099	8	21	0.381
Other / unassigned	01_trehalose	pre-infection	anaerobic	4.883	204	576	0.354
Oxidative phosphorylation / ETC	01_trehalose	pre-infection	anaerobic	0.4	6	24	0.25
Pectin / D-galacturonate (Ashwell)	01_trehalose	pre-infection	anaerobic	0.0	0	6	0.0
Pentose phosphate pathway	01_trehalose	pre-infection	anaerobic	0.977	11	20	0.55
Pentose-sugar catabolism	01_trehalose	pre-infection	anaerobic	0.0	0	6	0.0
Sink / demand	01_trehalose	pre-infection	anaerobic	0.017	1	1	1.0
Storage (glycogen / trehalose)	01_trehalose	pre-infection	anaerobic	2.004	3	7	0.429
Sulfur / nitrogen assimilation	01_trehalose	pre-infection	anaerobic	0.018	1	3	0.333
TCA cycle	01_trehalose	pre-infection	anaerobic	0.387	15	34	0.441
Transport (inter-compartmental)	01_trehalose	pre-infection	anaerobic	10.128	62	256	0.242
β-oxidation (peroxisomal)	01_trehalose	pre-infection	anaerobic	0.0	0	54	0.0
Amino-acid metabolism	02_glycerol	pre-infection	aerobic	0.461	53	162	0.327
Biomass	02_glycerol	pre-infection	aerobic	0.021	1	6	0.167
Cell-wall polysaccharide	02_glycerol	pre-infection	aerobic	0.047	8	18	0.444
Cofactor / vitamin biosynthesis	02_glycerol	pre-infection	aerobic	0.782	40	117	0.342
Compatible solute / mannitol	02_glycerol	pre-infection	aerobic	0.008	2	2	1.0
Exchange	02_glycerol	pre-infection	aerobic	4.989	9	170	0.053
Fatty-acid biosynthesis	02_glycerol	pre-infection	aerobic	0.0	0	38	0.0
GAM / maintenance	02_glycerol	pre-infection	aerobic	0.0	0	1	0.0
Glycolysis / gluconeogenesis	02_glycerol	pre-infection	aerobic	6.913	26	58	0.448
Lipid / membrane	02_glycerol	pre-infection	aerobic	0.038	10	35	0.286
Melanin / DHN	02_glycerol	pre-infection	aerobic	0.0	7	7	1.0
Nucleotide metabolism	02_glycerol	pre-infection	aerobic	0.14	8	21	0.381
Other / unassigned	02_glycerol	pre-infection	aerobic	12.431	207	576	0.359
Oxidative phosphorylation / ETC	02_glycerol	pre-infection	aerobic	6.819	9	24	0.375
Pectin / D-galacturonate (Ashwell)	02_glycerol	pre-infection	aerobic	0.0	0	6	0.0
Pentose phosphate pathway	02_glycerol	pre-infection	aerobic	2.947	14	20	0.7
Pentose-sugar catabolism	02_glycerol	pre-infection	aerobic	0.0	0	6	0.0
Sink / demand	02_glycerol	pre-infection	aerobic	0.0	1	1	1.0
Storage (glycogen / trehalose)	02_glycerol	pre-infection	aerobic	0.007	2	7	0.286
Sulfur / nitrogen assimilation	02_glycerol	pre-infection	aerobic	0.002	1	3	0.333
TCA cycle	02_glycerol	pre-infection	aerobic	0.132	11	34	0.324
Transport (inter-compartmental)	02_glycerol	pre-infection	aerobic	9.981	57	256	0.223
β-oxidation (peroxisomal)	02_glycerol	pre-infection	aerobic	0.0	0	54	0.0
Amino-acid metabolism	02_glycerol	pre-infection	anaerobic	1.276	48	162	0.296
Biomass	02_glycerol	pre-infection	anaerobic	0.0	1	6	0.167
Cell-wall polysaccharide	02_glycerol	pre-infection	anaerobic	0.002	9	18	0.5
Cofactor / vitamin biosynthesis	02_glycerol	pre-infection	anaerobic	2.377	26	117	0.222
Compatible solute / mannitol	02_glycerol	pre-infection	anaerobic	0.0	2	2	1.0
Exchange	02_glycerol	pre-infection	anaerobic	3.225	11	170	0.065
Fatty-acid biosynthesis	02_glycerol	pre-infection	anaerobic	0.0	0	38	0.0
GAM / maintenance	02_glycerol	pre-infection	anaerobic	0.0	0	1	0.0
Glycolysis / gluconeogenesis	02_glycerol	pre-infection	anaerobic	8.086	25	58	0.431
Lipid / membrane	02_glycerol	pre-infection	anaerobic	0.001	4	35	0.114
Melanin / DHN	02_glycerol	pre-infection	anaerobic	0.0	0	7	0.0
Nucleotide metabolism	02_glycerol	pre-infection	anaerobic	0.003	8	21	0.381
Other / unassigned	02_glycerol	pre-infection	anaerobic	2.358	147	576	0.255
Oxidative phosphorylation / ETC	02_glycerol	pre-infection	anaerobic	0.783	5	24	0.208
Pectin / D-galacturonate (Ashwell)	02_glycerol	pre-infection	anaerobic	0.0	0	6	0.0
Pentose phosphate pathway	02_glycerol	pre-infection	anaerobic	2.478	12	20	0.6
Pentose-sugar catabolism	02_glycerol	pre-infection	anaerobic	0.0	0	6	0.0
Sink / demand	02_glycerol	pre-infection	anaerobic	0.001	1	1	1.0
Storage (glycogen / trehalose)	02_glycerol	pre-infection	anaerobic	0.0	2	7	0.286
Sulfur / nitrogen assimilation	02_glycerol	pre-infection	anaerobic	0.001	1	3	0.333
TCA cycle	02_glycerol	pre-infection	anaerobic	1.21	14	34	0.412
Transport (inter-compartmental)	02_glycerol	pre-infection	anaerobic	3.402	41	256	0.16
β-oxidation (peroxisomal)	02_glycerol	pre-infection	anaerobic	0.0	0	54	0.0
Amino-acid metabolism	03_palmitate	pre-infection	aerobic	2.541	51	162	0.315
Biomass	03_palmitate	pre-infection	aerobic	0.114	1	6	0.167
Cell-wall polysaccharide	03_palmitate	pre-infection	aerobic	0.261	8	18	0.444
Cofactor / vitamin biosynthesis	03_palmitate	pre-infection	aerobic	2.514	39	117	0.333
Compatible solute / mannitol	03_palmitate	pre-infection	aerobic	0.046	2	2	1.0
Exchange	03_palmitate	pre-infection	aerobic	20.218	9	170	0.053
