metabolite_id	name	compartment	formula	k_reactions	z_reporter	p_one_sided
cpd19029_c0	Acyl-sn-glycerol 3-phosphate_c0	c0		3	-0.916	0.1799
cpd11683_c0	Chitin_c0	c0	C24H41N3O16	3	-0.907	0.1821
cpd00048_c0	Sulfate_c0	c0	O4S	3	-0.891	0.1864
cpd00091_c0	UMP_c0	c0	C9H11N2O9P	8	-0.889	0.187
cpd12582_c0	Phosphatidylinositol-4,5-bisphosphate_c0	c0	C11H16O19P3R2	3	-0.888	0.1871
cpd00023_c0	L-Glutamate	c0	C5H8NO4	44	0.872	0.1917
cpd00006_r0	NADP_r0	r0	C21H25N7O17P3	10	-0.864	0.1939
cpd00005_r0	NADPH_r0	r0	C21H26N7O17P3	10	-0.864	0.1939
cpd00143_c0	Phenylpyruvate_c0	c0	C9H7O3	3	0.862	0.1944
cpd00327_c0	strcoa_c0	c0	C39H66N7O17P3S	17	-0.841	0.2001
cpd00026_c0	UDP-glucose	c0	C15H22N2O17P2	9	0.837	0.2013
cpd00790_c0	O-Acetyl-L-homoserine_c0	c0	C6H11NO4	4	-0.825	0.2046
cpd00428_c0	2-Oxopropanal	c0	C3H4O2	4	-0.816	0.2071
cpd00052_c0	CTP_c0	c0	C9H13N3O14P3	9	0.803	0.2109
cpd00477_m0	N-Acetyl-L-glutamate	m0	C7H9NO5	3	-0.799	0.212
cpd00024_m0	2-Oxoglutarate	m0	C5H4O5	11	0.789	0.2152
cpd00041_m0	L-Aspartate	m0	C4H6NO4	3	-0.789	0.215
cpd19028_c0	alpha-D-Ribose 5-phosphate	c0	C5H9O8P	7	0.788	0.2152
cpd00016_c0	Pyridoxal phosphate_c0	c0	C8H8NO6P	5	0.788	0.2153
cpd00012_x0	PPi_x0	x0	HO7P2	10	-0.788	0.2154
cpd00040_x0	Glyoxalate	x0	C2HO3	3	-0.779	0.218
cpd00330_c0	Dihydrofolate_c0	c0	C19H19N7O6	3	-0.777	0.2185
cpd00008_c0	ADP	c0	C10H13N5O10P2	99	0.776	0.219
cpd00137_c0	Citrate	c0	C6H5O7	5	0.773	0.2199
cpd00137_m0	Citrate	m0	C6H5O7	5	0.773	0.2199
cpd00001_x0	H2O_x0	x0	H2O	41	0.757	0.2245
cpd00508_m0	3MOP_m0	m0	C6H9O3	3	0.751	0.2263
cpd00010_x0	CoA_x0	x0	C21H32N7O16P3S	42	0.749	0.227
cpd29685_c0	cdpdag_BS_c0	c0		3	-0.747	0.2277
L2aadp6sa-c_c0	L 2 Aminoadipate 6 semialdehyde C6H11NO3	c0		3	-0.737	0.2304
cpd00069_c0	L-Tyrosine_c0	c0	C9H11NO3	5	-0.733	0.2318
cpd01646_c0	2-Isopropylmalate_c0	c0	C7H10O5	3	-0.732	0.232
cpd00121_c0	L-Inositol_c0	c0	C6H12O6	4	-0.731	0.2325
cpd00017_m0	S-Adenosyl-L-methionine_m0	m0	C15H23N6O5S	5	-0.731	0.2324
cpd00023_x0	L-Glutamate_x0	x0	C5H8NO4	3	0.73	0.2326
cpd00113_m0	Isopentenyldiphosphate_m0	m0	C5H10O7P2	4	-0.721	0.2355
cpd00067_c0	H+	c0	H	413	-0.717	0.2367
cpd00051_c0	L-Arginine_c0	c0	C6H15N4O2	4	0.705	0.2403
cpd00008_m0	ADP	m0	C10H13N5O10P2	15	0.698	0.2425
cpd00155_c0	Glycogen	c0	C24H42O21	4	-0.695	0.2434
cpd00351_c0	Saccharopine_c0	c0	C11H19N2O6	3	0.692	0.2445
cpd15209_c0	4,4-dimethylcholesta-8,14,24-trienol_c0	c0	C29H46O	4	0.688	0.2458
cpd00275_c0	L-Kynurenine_c0	c0	C10H12N2O3	3	-0.675	0.2498
cpd00080_c0	Glycerol-3-phosphate	c0	C3H8O6P	6	0.671	0.2513
