rxn_id	seed_base	pathway_bucket	kegg_reaction	kegg_pathway_id	kegg_pathway_name	ec_number
rxn00189_c0	rxn00189	Amino-acid metabolism	R00256	rn00250;rn00330;rn00471	Alanine, aspartate and glutamate metabolism;Arginine and proline metabolism;D-Glutamine and D-glutamate metabolism	3.5.1.2|3.5.1.38|6.3.5.4|6.3.5.5
rxn06443_m0	rxn06443	Amino-acid metabolism	R03659	rn00970	Aminoacyl-tRNA biosynthesis	6.1.1.10
rxn02789_c0	rxn02789	Other / unassigned	R03968	rn00290;rn01110;rn01210	Valine, leucine and isoleucine biosynthesis;Biosynthesis of secondary metabolites;2-Oxocarboxylic acid metabolism	4.2.1.33
MELIBt2_c0		Transport (inter-compartmental)				
rxn09193_c0	rxn09193	Transport (inter-compartmental)				
rxn00838_c0	rxn00838	Amino-acid metabolism	R01135	rn00230;rn00250	Purine metabolism;Alanine, aspartate and glutamate metabolism	6.3.4.4
rxn09842_c0	rxn09842	Transport (inter-compartmental)				
rxn01406_c0	rxn01406	Other / unassigned	R01920	rn00270;rn00330;rn00480	Cysteine and methionine metabolism;Arginine and proline metabolism;Glutathione metabolism	2.5.1.16
IPCS326_SC_c0		Other / unassigned				
rxn05234_c0	rxn05234	Other / unassigned	R02020	rn00230	Purine metabolism	1.17.4.2
rxn27926_c0	rxn27926	Amino-acid metabolism	R03243	rn00340;rn01110;rn01230	Histidine metabolism;Biosynthesis of secondary metabolites;Biosynthesis of amino acids	2.6.1.9
rxn08063_c0	rxn08063	Transport (inter-compartmental)				
O2ter_c0		Other / unassigned				
rxn13390_c0	rxn13390	Transport (inter-compartmental)				
rxn03974_c0	rxn03974	Cofactor / vitamin biosynthesis	R05705	rn00524;rn00740;rn01057	Butirosin and neomycin biosynthesis;Riboflavin metabolism;Biosynthesis of type II polyketide products	1.5.1.-|1.5.1.29|1.5.1.39|1.5.1.41|1.5.1.42
rxn30433_c0	rxn30433	Glycolysis / gluconeogenesis	R01787	rn00051	Fructose and mannose metabolism	1.1.1.21
rxn08066_c0	rxn08066	Other / unassigned				
rxn09633_c0	rxn09633	Other / unassigned				
rxn01748_c0	rxn01748	Other / unassigned	R02424			3.5.2.5
rxn09798_c0	rxn09798	Transport (inter-compartmental)				
rxn05199_c0	rxn05199	Other / unassigned				
rxn01302_c0	rxn01302	Pentose phosphate pathway	R01775	rn00260;rn00270;rn00300;rn01110;rn01230	Glycine, serine and threonine metabolism;Cysteine and methionine metabolism;Lysine biosynthesis;Biosynthesis of secondary metabolites;Biosynthesis of amino acids	1.1.1.3
rxn08439_x0	rxn08439	Other / unassigned				3.1.2.2
rxn05602_c0	rxn05602	Transport (inter-compartmental)				
rxn06549_c0	rxn06549	Other / unassigned	R03992			2.3.1.97
rxn13226_c0	rxn13226	Other / unassigned				1.1.1.-
rxn02290_c0	rxn02290	Lipid / membrane	R03199	rn00100;rn01110	Steroid biosynthesis;Biosynthesis of secondary metabolites	5.4.99.7
rxn06937_m0	rxn06937	Amino-acid metabolism	R05578	rn00860;rn00970;rn01110	Porphyrin and chlorophyll metabolism;Aminoacyl-tRNA biosynthesis;Biosynthesis of secondary metabolites	6.1.1.17|6.1.1.24
rxn13313_c0	rxn13313	Transport (inter-compartmental)				
IBUTOHtm_c0		Transport (inter-compartmental)				
rxn09653_c0	rxn09653	Transport (inter-compartmental)				
rxn08447_x0	rxn08447	Other / unassigned				
PMI12346PS_c0		Other / unassigned				
PINOS_SC_c0		Lipid / membrane				
rxn04147_c0	rxn04147	Other / unassigned	R06223			2.5.1.21
rxn08413_x0	rxn08413	β-oxidation (peroxisomal)				4.2.1.17
rxn13414_c0	rxn13414	Nucleotide metabolism				3.6.1.5
rxn05243_c0	rxn05243	Amino-acid metabolism				
rxn00493_c0	rxn00493	Amino-acid metabolism	R00694	rn00360;rn00400;rn00960;rn01110;rn01210;rn01230	Phenylalanine metabolism;Phenylalanine, tyrosine and tryptophan biosynthesis;Tropane, piperidine and pyridine alkaloid biosynthesis;Biosynthesis of secondary metabolites;2-Oxocarboxylic acid metabolism;Biosynthesis of amino acids	2.6.1.1|2.6.1.5|2.6.1.57|2.6.1.58|2.6.1.9
rxn09791_c0	rxn09791	Transport (inter-compartmental)				
rxn09466_x0	rxn09466	Other / unassigned				
rxn00327_c0	rxn00327	Pentose phosphate pathway	R00469	rn00230	Purine metabolism	3.5.1.116|3.5.3.19
TTCCOAtx_c0		Transport (inter-compartmental)				
CLPNSm_SC_m0		Lipid / membrane				
