rxn_id	seed_base	pathway_bucket	kegg_reaction	kegg_pathway_id	kegg_pathway_name	ec_number
rxn01937_m0	rxn01937	Cofactor / vitamin biosynthesis	R02678	rn00380	Tryptophan metabolism	1.2.1.3
rxn15507_c0	rxn15507	Amino-acid metabolism	R05052	rn00330	Arginine and proline metabolism	2.6.1.1|2.6.1.23
rxn15507_m0	rxn15507	TCA cycle	R05052	rn00330	Arginine and proline metabolism	2.6.1.1|2.6.1.23
rxn02061_c0	rxn02061	Other / unassigned	R02869	rn00270;rn00330;rn00410;rn00480	Cysteine and methionine metabolism;Arginine and proline metabolism;beta-Alanine metabolism;Glutathione metabolism	2.5.1.16|2.5.1.22
rxn00740_c0	rxn00740	Other / unassigned	R00999	rn00270	Cysteine and methionine metabolism	2.5.1.48|4.3.1.-
rxn02752_c0	rxn02752	Other / unassigned	R03899			1.5.3.11|1.5.3.13|1.5.3.16|1.5.3.17
rxn13388_c0	rxn13388	Other / unassigned	R09076	rn00330;rn00410	Arginine and proline metabolism;beta-Alanine metabolism	1.5.3.16|1.5.3.17
rxn09878_c0	rxn09878	Other / unassigned				1.5.3.11
rxn00165_c0	rxn00165	Amino-acid metabolism	R00220	rn00260;rn01110;rn01200;rn01230	Glycine, serine and threonine metabolism;Biosynthesis of secondary metabolites;Carbon metabolism;Biosynthesis of amino acids	4.2.1.13|4.3.1.17|4.3.1.19
rxn22781_c0	rxn22781	Other / unassigned	R00904	rn00410	beta-Alanine metabolism	1.2.1.-|1.2.1.19|1.2.1.3|1.2.1.5
rxn00342_c0	rxn00342	Amino-acid metabolism	R00485	rn00250;rn00460;rn01110	Alanine, aspartate and glutamate metabolism;Cyanoamino acid metabolism;Biosynthesis of secondary metabolites	3.5.1.1|3.5.1.38
rxn00623_c0	rxn00623	Cofactor / vitamin biosynthesis	R00858	rn00920	Sulfur metabolism	1.8.1.2|1.8.2.2
rxn03147_c0	rxn03147	Amino-acid metabolism	R04591	rn00230;rn01110	Purine metabolism;Biosynthesis of secondary metabolites	6.3.2.6
rxn03136_c0	rxn03136	Other / unassigned	R04559	rn00230;rn01110	Purine metabolism;Biosynthesis of secondary metabolites	4.3.2.2
rxn00836_c0	rxn00836	Other / unassigned	R01132	rn00230	Purine metabolism	2.4.2.8
rxn00095_c0	rxn00095	Other / unassigned	R00125	rn00230	Purine metabolism	3.6.1.41
rxn00096_c0	rxn00096	Other / unassigned	R00126	rn00230	Purine metabolism	2.7.7.53
rxn01138_c0	rxn01138	Other / unassigned	R01561	rn00230	Purine metabolism	2.4.2.1
rxn01138_m0	rxn01138	Other / unassigned	R01561	rn00230	Purine metabolism	2.4.2.1
rxn01859_c0	rxn01859	Other / unassigned	R02557	rn00230	Purine metabolism	2.4.2.1
rxn01548_c0	rxn01548	Other / unassigned	R02147	rn00230	Purine metabolism	2.4.2.1|2.4.2.15
rxn01548_m0	rxn01548	Other / unassigned	R02147	rn00230	Purine metabolism	2.4.2.1|2.4.2.15
rxn01446_c0	rxn01446	Other / unassigned	R01969	rn00230	Purine metabolism	2.4.2.1|2.4.2.4
rxn32380_c0	rxn32380	Other / unassigned	R01229	rn00230	Purine metabolism	2.4.2.22|2.4.2.7|2.4.2.8
rxn01985_c0	rxn01985	Other / unassigned	R02748	rn00230	Purine metabolism	2.4.2.1|2.4.2.4
rxn01649_c0	rxn01649	Other / unassigned	R02297	rn00230;rn01110	Purine metabolism;Biosynthesis of secondary metabolites	2.4.2.-|2.4.2.1
rxn01358_c0	rxn01358	Other / unassigned	R01863	rn00230	Purine metabolism	2.4.2.1|2.4.2.15
rxn01519_c0	rxn01519	Other / unassigned	R02100	rn00240	Pyrimidine metabolism	3.6.1.19|3.6.1.23
rxn01799_c0	rxn01799	Other / unassigned	R02484	rn00240	Pyrimidine metabolism	2.4.2.1|2.4.2.23|2.4.2.3|2.4.2.4
rxn01146_c0	rxn01146	Other / unassigned	R01570	rn00240	Pyrimidine metabolism	2.4.2.2|2.4.2.4
rxn05289_m0	rxn05289	Cofactor / vitamin biosynthesis	R02016	rn00240	Pyrimidine metabolism	1.6.4.5|1.8.1.9
rxn13185_c0	rxn13185	Other / unassigned				3.1.4.37
rxn02155_c0	rxn02155	Other / unassigned	R03005	rn00760	Nicotinate and nicotinamide metabolism	2.7.7.1|2.7.7.18
rxn02155_m0	rxn02155	Other / unassigned	R03005	rn00760	Nicotinate and nicotinamide metabolism	2.7.7.1|2.7.7.18
rxn00105_m0	rxn00105	Other / unassigned	R00137	rn00760	Nicotinate and nicotinamide metabolism	2.7.7.1|2.7.7.18
rxn00690_c0	rxn00690	Cofactor / vitamin biosynthesis	R00943	rn00670;rn00720;rn01200	One carbon pool by folate;Carbon fixation pathways in prokaryotes;Carbon metabolism	6.3.4.3
rxn01211_c0	rxn01211	Cofactor / vitamin biosynthesis	R01655	rn00670;rn00720;rn01200	One carbon pool by folate;Carbon fixation pathways in prokaryotes;Carbon metabolism	3.5.4.9
rxn00907_c0	rxn00907	Cofactor / vitamin biosynthesis	R01220	rn00670;rn00720;rn01200	One carbon pool by folate;Carbon fixation pathways in prokaryotes;Carbon metabolism	1.5.1.5
rxn40427_c0	rxn40427	Amino-acid metabolism	R10685	rn00730	Thiamine metabolism	
rxn27029_c0	rxn27029	Amino-acid metabolism				
rxn40448_c0	rxn40448	Other / unassigned	R10711	rn00730	Thiamine metabolism	
rxn40428_c0	rxn40428	Amino-acid metabolism	R10686	rn00730	Thiamine metabolism	
rxn03108_c0	rxn03108	Other / unassigned	R04509	rn00730	Thiamine metabolism	2.7.4.7
rxn23042_c0	rxn23042	Cofactor / vitamin biosynthesis	R10712	rn00730	Thiamine metabolism	2.5.1.3
rxn10506_c0	rxn10506	Other / unassigned	R09377	rn00740	Riboflavin metabolism	3.5.4.-
rxn00048_c0	rxn00048	Other / unassigned	R00066	rn00740	Riboflavin metabolism	2.5.1.9
rxn01251_c0	rxn01251	Other / unassigned	R01710	rn00750	Vitamin B6 metabolism	1.4.3.5
rxn02277_m0	rxn02277	Other / unassigned	R03182	rn00780	Biotin metabolism	6.3.3.3
rxn02312_m0	rxn02312	Other / unassigned	R03231	rn00780	Biotin metabolism	2.6.1.62
rxn05927_m0	rxn05927	Amino-acid metabolism				2.8.1.6|2.8.1.6-
rxn09532_c0	rxn09532	Fatty-acid biosynthesis	R10747			
rxn01790_c0	rxn01790	Cofactor / vitamin biosynthesis	R02472	rn00770;rn01110	Pantothenate and CoA biosynthesis;Biosynthesis of secondary metabolites	1.1.1.169
rxn12512_c0	rxn12512	Amino-acid metabolism	R04230	rn00770	Pantothenate and CoA biosynthesis	6.3.2.5|6.3.2.51
rxn03894_m0	rxn03894	Other / unassigned	R05616	rn00130;rn01110	Ubiquinone and other terpenoid-quinone biosynthesis;Biosynthesis of secondary metabolites	2.5.1.-|2.5.1.39
rxn13204_m0	rxn13204	Other / unassigned				
rxn03392_m0	rxn03392	Other / unassigned	R04984	rn00130;rn01110	Ubiquinone and other terpenoid-quinone biosynthesis;Biosynthesis of secondary metabolites	1.14.13.-
rxn01629_c0	rxn01629	Other / unassigned	R02272	rn00860;rn01110	Porphyrin and chlorophyll metabolism;Biosynthesis of secondary metabolites	5.4.3.8
rxn00024_e0	rxn00024	Amino-acid metabolism	R00031	rn00350;rn00950;rn01110	Tyrosine metabolism;Isoquinoline alkaloid biosynthesis;Biosynthesis of secondary metabolites	1.10.3.1
rxn00036_e0	rxn00036	Other / unassigned	R00045	rn00350	Tyrosine metabolism	1.10.3.1
rxn11972_e0	rxn11972	Other / unassigned	R02962	rn00350;rn00965	Tyrosine metabolism;Betalain biosynthesis	
rxn02611_e0	rxn02611	Other / unassigned	R03674	rn00350	Tyrosine metabolism	
rxn02610_e0	rxn02610	Other / unassigned	R03673	rn00350	Tyrosine metabolism	5.3.3.12
rxn03338_e0	rxn03338	Other / unassigned	R04885			4.1.1.-
rxn03337_e0	rxn03337	Other / unassigned	R04884	rn00350	Tyrosine metabolism	1.14.18.1
rxn06809_e0	rxn06809	Other / unassigned				
rxn15499_e0	rxn15499	Other / unassigned	R04886	rn00350	Tyrosine metabolism	
rxn07120_e0	rxn07120	Other / unassigned				1.14.18.-
rxn15819_e0	rxn15819	Amino-acid metabolism	R08848	rn00350	Tyrosine metabolism	
rxn44970_e0	rxn44970	Other / unassigned				
rxn22818_m0	rxn22818	Other / unassigned				6.2.1.-
rxn00076_x0	rxn00076	Cofactor / vitamin biosynthesis	R00103	rn00760	Nicotinate and nicotinamide metabolism	3.6.1.22|3.6.1.9
rxn03841_c0	rxn03841	Glycolysis / gluconeogenesis	R05553	rn00790	Folate biosynthesis	4.1.3.38
rxn01653_c0	rxn01653	Cofactor / vitamin biosynthesis	R02301	rn00670	One carbon pool by folate	6.3.3.2
rxn01257_c0	rxn01257	Amino-acid metabolism	R01716	rn00790	Folate biosynthesis	2.6.1.85
rxn02484_c0	rxn02484	Other / unassigned	R03471	rn00730	Thiamine metabolism	2.7.1.49
rxn30439_e0	rxn30439	Cofactor / vitamin biosynthesis	R02135	rn00730	Thiamine metabolism	3.1.3.-|3.1.3.100|3.1.3.2
rxn09632_e0	rxn09632	Cofactor / vitamin biosynthesis				
rxn00198_x0	rxn00198	Cofactor / vitamin biosynthesis	R00267	rn00480;rn00720;rn01200;rn01210;rn01230	Glutathione metabolism;Carbon fixation pathways in prokaryotes;Carbon metabolism;2-Oxocarboxylic acid metabolism;Biosynthesis of amino acids	1.1.1.42
rxn06134_c0	rxn06134	Other / unassigned				1.14.19.1
rxn42762_c0	rxn42762	Other / unassigned				
rxn10667_c0	rxn10667	Fatty-acid biosynthesis				
rxn08445_c0	rxn08445	Fatty-acid biosynthesis				
rxn08053_x0	rxn08053	β-oxidation (peroxisomal)				1.3.99.3
rxn00946_x0	rxn00946	Other / unassigned	R01279	rn00071;rn01212	Fatty acid degradation;Fatty acid metabolism	1.3.3.6|1.3.8.9|1.3.99.-|1.3.99.13|1.3.99.3
rxn02804_x0	rxn02804	Other / unassigned	R03991	rn00062;rn00071;rn01212	Fatty acid elongation;Fatty acid degradation;Fatty acid metabolism	2.3.1.155|2.3.1.16
rxn02803_x0	rxn02803	Other / unassigned	R03990	rn00071;rn01212	Fatty acid degradation;Fatty acid metabolism	1.3.3.6|1.3.99.-|1.3.99.13|1.3.99.3
rxn02720_x0	rxn02720	Other / unassigned	R03857	rn00071;rn01212	Fatty acid degradation;Fatty acid metabolism	1.3.3.6|1.3.99.-|1.3.99.13|1.3.99.3
rxn03253_x0	rxn03253	Other / unassigned	R04754	rn00071;rn01212	Fatty acid degradation;Fatty acid metabolism	1.3.3.6|1.3.99.-|1.3.99.13|1.3.99.3
rxn09480_x0	rxn09480	Other / unassigned				
rxn09463_x0	rxn09463	Other / unassigned				
rxn00533_m0	rxn00533	Other / unassigned	R00742	rn00061;rn00253;rn00254;rn00620;rn00640;rn00720;rn01110;rn01200;rn01212	Fatty acid biosynthesis;Tetracycline biosynthesis;Aflatoxin biosynthesis;Pyruvate metabolism;Propanoate metabolism;Carbon fixation pathways in prokaryotes;Biosynthesis of secondary metabolites;Carbon metabolism;Fatty acid metabolism	6.4.1.2
rxn23551_r0	rxn23551	Other / unassigned				2.3.1.-
rxn23534_r0	rxn23534	Other / unassigned				1.1.1.-
rxn23565_r0	rxn23565	Other / unassigned				4.2.1.-|4.2.1.119
rxn19046_r0	rxn19046	Other / unassigned				1.3.1.-
rxn23554_r0	rxn23554	Other / unassigned				2.3.1.-|2.3.1.199
rxn23531_r0	rxn23531	Other / unassigned				1.1.1.-
rxn22098_r0	rxn22098	Other / unassigned				4.2.1.-|4.2.1.119
rxn19044_r0	rxn19044	Other / unassigned				1.3.1.-
rxn23559_r0	rxn23559	Other / unassigned				2.3.1.-
rxn23535_r0	rxn23535	Other / unassigned				1.1.1.-
rxn22099_r0	rxn22099	Other / unassigned				4.2.1.-|4.2.1.119
rxn19045_r0	rxn19045	Other / unassigned				1.3.1.-
rxn23557_r0	rxn23557	Other / unassigned				2.3.1.-
rxn23536_r0	rxn23536	Other / unassigned				1.1.1.-
rxn22100_r0	rxn22100	Other / unassigned				4.2.1.-|4.2.1.119
rxn09599_c0	rxn09599	Other / unassigned				
rxn09598_c0	rxn09598	Other / unassigned				
rxn09597_c0	rxn09597	Other / unassigned				
rxn09596_c0	rxn09596	Other / unassigned				
rxn09595_c0	rxn09595	Other / unassigned				
rxn09594_c0	rxn09594	Other / unassigned				
rxn09593_c0	rxn09593	Other / unassigned				
rxn09592_c0	rxn09592	Other / unassigned				
rxn09591_c0	rxn09591	Other / unassigned				
rxn09590_c0	rxn09590	Other / unassigned				
rxn09589_c0	rxn09589	Other / unassigned				
rxn09588_c0	rxn09588	Other / unassigned				
rxn09548_c0	rxn09548	Glycolysis / gluconeogenesis				
rxn09555_c0	rxn09555	Other / unassigned				
rxn01071_c0	rxn01071	Other / unassigned	R01468	rn00564	Glycerophospholipid metabolism	2.7.1.82
rxn09543_c0	rxn09543	Lipid / membrane				
rxn09545_c0	rxn09545	Other / unassigned				
rxn09535_c0	rxn09535	Lipid / membrane				
rxn39089_c0	rxn39089	Amino-acid metabolism				
rxn09552_c0	rxn09552	Other / unassigned				
rxn09536_c0	rxn09536	Lipid / membrane				
rxn09537_c0	rxn09537	Lipid / membrane				
rxn09538_c0	rxn09538	Lipid / membrane				
rxn16107_m0	rxn16107	Other / unassigned	R09246	rn00900;rn01110	Terpenoid backbone biosynthesis;Biosynthesis of secondary metabolites	2.5.1.82
rxn13477_m0	rxn13477	Other / unassigned	R09245	rn00900;rn01110	Terpenoid backbone biosynthesis;Biosynthesis of secondary metabolites	2.5.1.83
rxn09622_c0	rxn09622	Lipid / membrane				
rxn13416_c0	rxn13416	Lipid / membrane				
rxn05918_c0	rxn05918	Other / unassigned	R01009	rn00510	N-Glycan biosynthesis	2.4.1.83
rxn08017_c0	rxn08017	Other / unassigned				6.2.1.20
rxn00175_x0	rxn00175	Other / unassigned	R00235	rn00010;rn00680;rn00720;rn01110;rn01200	Glycolysis / Gluconeogenesis;Methane metabolism;Carbon fixation pathways in prokaryotes;Biosynthesis of secondary metabolites;Carbon metabolism	6.2.1.1
rxn19047_r0	rxn19047	Other / unassigned				1.3.1.-
rxn09549_c0	rxn09549	Other / unassigned				
rxn50927_c0	rxn50927	Other / unassigned				
rxn24251_c0	rxn24251	Other / unassigned	R05801	rn00562	Inositol phosphate metabolism	2.7.1.151
rxn09629_c0	rxn09629	Other / unassigned				
rxn15542_m0	rxn15542	Other / unassigned	R05556	rn00900;rn01110	Terpenoid backbone biosynthesis;Biosynthesis of secondary metabolites	2.5.1.87
rxn35521_m0	rxn35521	Other / unassigned				
rxn05913_m0	rxn05913	Other / unassigned	R01004	rn00510	N-Glycan biosynthesis	3.6.1.43
rxn13281_c0	rxn13281	Other / unassigned				
rxn10665_c0	rxn10665	Other / unassigned				
rxn09587_c0	rxn09587	Other / unassigned				
rxn09586_c0	rxn09586	Other / unassigned				
rxn09585_c0	rxn09585	Other / unassigned				
rxn09584_c0	rxn09584	Other / unassigned				
rxn09583_c0	rxn09583	Other / unassigned				
rxn09582_c0	rxn09582	Other / unassigned				
rxn00744_c0	rxn00744	Pentose phosphate pathway	R01011	rn00561;rn00680;rn01200	Glycerolipid metabolism;Methane metabolism;Carbon metabolism	2.7.1.29
rxn39089_m0	rxn39089	Amino-acid metabolism				
rxn13287_c0	rxn13287	Other / unassigned				
rxn13335_c0	rxn13335	Lipid / membrane				
rxn13254_c0	rxn13254	Other / unassigned				
rxn09510_c0	rxn09510	Other / unassigned				
rxn13381_e0	rxn13381	Fatty-acid biosynthesis				
ORNt3m_c0		Transport (inter-compartmental)				
rxn08475_c0	rxn08475	Transport (inter-compartmental)				
TRP_coa_c0r0		Transport (inter-compartmental)				
TRP_co2_c0r0		Transport (inter-compartmental)				
TRP_nadph_c0r0		Transport (inter-compartmental)				
TRP_nadp_c0r0		Transport (inter-compartmental)				
bio_gsm		Biomass				
rxn00024_c0	rxn00024	Melanin / DHN	R00031	rn00350;rn00950;rn01110	Tyrosine metabolism;Isoquinoline alkaloid biosynthesis;Biosynthesis of secondary metabolites	1.10.3.1
rxn00036_c0	rxn00036	Melanin / DHN	R00045	rn00350	Tyrosine metabolism	1.10.3.1
rxn11972_c0	rxn11972	Melanin / DHN	R02962	rn00350;rn00965	Tyrosine metabolism;Betalain biosynthesis	
rxn02609_c0	rxn02609	Melanin / DHN	R03672	rn00350	Tyrosine metabolism	
rxn02611_c0	rxn02611	Melanin / DHN	R03674	rn00350	Tyrosine metabolism	
rxn03337_c0	rxn03337	Melanin / DHN	R04884	rn00350	Tyrosine metabolism	1.14.18.1
rxn06809_c0	rxn06809	Melanin / DHN				
rxn00293_c0	rxn00293	Cell-wall polysaccharide	R00416	rn00520;rn01110	Amino sugar and nucleotide sugar metabolism;Biosynthesis of secondary metabolites	2.7.7.23
rxn15558_c0	rxn15558	Cell-wall polysaccharide	R06028			2.4.1.16
rxn01150_c0	rxn01150	Cofactor / vitamin biosynthesis	R01575			1.1.1.117
rxn01150_m0	rxn01150	Cofactor / vitamin biosynthesis	R01575			1.1.1.117
rxn00546_c0	rxn00546	Compatible solute / mannitol	R00758			1.1.1.17
rxn01560_c0	rxn01560	Compatible solute / mannitol	R02167	rn00051	Fructose and mannose metabolism	3.1.3.22
rxn15561_c0	rxn15561	Cell-wall polysaccharide	R06045			2.4.1.183
tx_cpd00496_mc		Transport (inter-compartmental)				
rxn02679_x0	rxn02679	β-oxidation (peroxisomal)	R03777	rn00071;rn01212	Fatty acid degradation;Fatty acid metabolism	1.3.3.6|1.3.99.-|1.3.99.13|1.3.99.3
rxn03251_x0	rxn03251	β-oxidation (peroxisomal)	R04751	rn00071;rn01212	Fatty acid degradation;Fatty acid metabolism	1.3.3.6|1.3.8.1|1.3.99.-|1.3.99.13|1.3.99.3
rxn00868_x0	rxn00868	β-oxidation (peroxisomal)	R01171	rn00310;rn00650;rn01200	Lysine degradation;Butanoate metabolism;Carbon metabolism	1.3.1.44|1.3.8.1
rxn03247_x0	rxn03247	β-oxidation (peroxisomal)	R04746	rn00062;rn00071;rn01212	Fatty acid elongation;Fatty acid degradation;Fatty acid metabolism	4.2.1.17|4.2.1.74
rxn03250_x0	rxn03250	β-oxidation (peroxisomal)	R04749	rn00062;rn00071;rn01212	Fatty acid elongation;Fatty acid degradation;Fatty acid metabolism	4.2.1.-|4.2.1.17|4.2.1.74
rxn02167_x0	rxn02167	β-oxidation (peroxisomal)	R03026	rn00071;rn00310;rn00362;rn00380;rn00627;rn00650;rn00720;rn01200;rn01212	Fatty acid degradation;Lysine degradation;Benzoate degradation;Tryptophan metabolism;Aminobenzoate degradation;Butanoate metabolism;Carbon fixation pathways in prokaryotes;Carbon metabolism;Fatty acid metabolism	4.2.1.-|4.2.1.17|4.2.1.55
rxn03246_x0	rxn03246	β-oxidation (peroxisomal)	R04745	rn00062;rn00071;rn01212	Fatty acid elongation;Fatty acid degradation;Fatty acid metabolism	1.1.1.211|1.1.1.35
rxn03249_x0	rxn03249	β-oxidation (peroxisomal)	R04748	rn00062;rn00071;rn01212	Fatty acid elongation;Fatty acid degradation;Fatty acid metabolism	1.1.1.211|1.1.1.35
rxn03861_x0	rxn03861	β-oxidation (peroxisomal)	R05576			1.1.1.157|1.1.1.36
rxn06510_x0	rxn06510	β-oxidation (peroxisomal)	R03858	rn00062;rn00071;rn01212	Fatty acid elongation;Fatty acid degradation;Fatty acid metabolism	2.3.1.16
rxn03243_x0	rxn03243	β-oxidation (peroxisomal)	R04742	rn00062;rn00071;rn01212	Fatty acid elongation;Fatty acid degradation;Fatty acid metabolism	2.3.1.16
rxn02680_x0	rxn02680	β-oxidation (peroxisomal)	R03778	rn00062;rn00071;rn01212	Fatty acid elongation;Fatty acid degradation;Fatty acid metabolism	2.3.1.16
rxn03248_x0	rxn03248	β-oxidation (peroxisomal)	R04747	rn00062;rn00071;rn01212	Fatty acid elongation;Fatty acid degradation;Fatty acid metabolism	2.3.1.16
rxn00874_x0	rxn00874	β-oxidation (peroxisomal)	R01177	rn00062;rn00071;rn01212	Fatty acid elongation;Fatty acid degradation;Fatty acid metabolism	2.3.1.16|2.3.1.9
rxn00178_x0	rxn00178	β-oxidation (peroxisomal)	R00238	rn00071;rn00072;rn00280;rn00310;rn00362;rn00380;rn00620;rn00630;rn00640;rn00650;rn00720;rn00900;rn01110;rn01200;rn01212	Fatty acid degradation;Synthesis and degradation of ketone bodies;Valine, leucine and isoleucine degradation;Lysine degradation;Benzoate degradation;Tryptophan metabolism;Pyruvate metabolism;Glyoxylate and dicarboxylate metabolism;Propanoate metabolism;Butanoate metabolism;Carbon fixation pathways in prokaryotes;Terpenoid backbone biosynthesis;Biosynthesis of secondary metabolites;Carbon metabolism;Fatty acid metabolism	2.3.1.9
tx_atp_xc		β-oxidation (peroxisomal)				
tx_ppi_xc		β-oxidation (peroxisomal)				
tx_coa_xc		β-oxidation (peroxisomal)				
tx_nad_xc		β-oxidation (peroxisomal)				
tx_nadh_xc		β-oxidation (peroxisomal)				
tx_h_xc		β-oxidation (peroxisomal)				
rxn01391_c0	rxn01391	Pentose-sugar catabolism	R01903	rn00040	Pentose and glucuronate interconversions	1.1.1.12
rxn33066_c0	rxn33066	Pentose-sugar catabolism	R01904	rn00040	Pentose and glucuronate interconversions	1.1.1.10
rxn05673_c0	rxn05673	Pectin / D-galacturonate (Ashwell)				2.A.1.14.-
rxn07491_c0	rxn07491	Pectin / D-galacturonate (Ashwell)	R07676	rn00040;rn00053	Pentose and glucuronate interconversions;Ascorbate and aldarate metabolism	1.1.1.-|1.1.1.365
rxn21749_c0	rxn21749	Pectin / D-galacturonate (Ashwell)	R10532	rn00040	Pentose and glucuronate interconversions	4.2.1.146
rxn21750_c0	rxn21750	Pectin / D-galacturonate (Ashwell)	R10550	rn00040	Pentose and glucuronate interconversions	4.1.2.54
rxn09954_c0	rxn09954	Pectin / D-galacturonate (Ashwell)	R10563	rn00040	Pentose and glucuronate interconversions	
HXCAt		β-oxidation (peroxisomal)				
vlcfa_oxC24_x0		β-oxidation (peroxisomal)				
vlcfa_hyC24_x0		β-oxidation (peroxisomal)				
vlcfa_dhC24_x0		β-oxidation (peroxisomal)				
vlcfa_thC24_x0		β-oxidation (peroxisomal)				
vlcfa_oxC22_x0		β-oxidation (peroxisomal)				
vlcfa_hyC22_x0		β-oxidation (peroxisomal)				
vlcfa_dhC22_x0		β-oxidation (peroxisomal)				
vlcfa_thC22_x0		β-oxidation (peroxisomal)				
vlcfa_oxC20_x0		β-oxidation (peroxisomal)				
vlcfa_hyC20_x0		β-oxidation (peroxisomal)				
vlcfa_dhC20_x0		β-oxidation (peroxisomal)				
vlcfa_thC20_x0		β-oxidation (peroxisomal)				
