rxn_id	name	subsystem	gpr	expr_linear	eflux_scale	flux_baseline	flux_eflux	dflux
rxn09625_c0	C-3 sterol dehydrogenase (zymosterol)_c0		gene_8865	67798307.41991106	0.004467406556148443	0.00016275162151060734	0.0001627516215106076	2.439454888092385e-19
rxn01961_c0	Xanthosine 5'-phosphate phosphohydrolase_c0					0.0	0.0	0.0
rxn30425_m0	phosphatidylserine decarboxylase, yeast-specific, mitochondrial_m0		gene_3762	63525003.490434825	0.004185827461957804	0.0019147249589483296	0.001914724958948331	1.3010426069826053e-18
ORNt2r_c0	Orntithine reversible transport in via proton symport		gene_12204 or gene_632			0.0	0.0	0.0
rxn00791_c0	N-(5-Phospho-D-ribosyl)anthranilate:pyrophosphate phosphoribosyl-transferase_c0		gene_159	116685707.31700611	0.007688724301747404	0.0017274054417066168	0.0017274054417066207	3.903127820947816e-18
rxn05349_c0	acetyl-CoA:[acyl-carrier-protein] S-acetyltransferase_c0		gene_12865 or gene_313	611307669.1863863	0.04028064996125634	0.0	0.0	0.0
rxn13258_c0	ergosterol ester hydrolase, yeast-specific_c0		gene_11810 or gene_6533	90821022.28783555	0.005984433031518779	0.0	0.0	0.0
rxn00906_c0	5,10-methylenetetrahydrofolate:NAD+ oxidoreductase_c0		gene_3021	76913783.58292893	0.005068048954503088	0.0	0.0	0.0
rxn10075_c0	2,3-diketo-5-methylthio-1-phosphopentane degradation reaction_c0		gene_7944 or gene_385	587132479.6294096	0.03868768393551081	0.0	0.0	0.0
rxn13349_c0	Mannose-(inositol-P)2-ceramide, ceramide-2 (24C) phospholipase C_c0		gene_5890			0.0	0.0	0.0
rxn00122_c0	ATP:FMN adenylyltransferase_c0		gene_12791	77139101.13292763	0.00508289571304892	1.9147249589483218e-05	1.9147249589483245e-05	2.710505431213761e-20
THZPSN2_SC_c0	Thiazole phosphate synthesis  ribose 5 phosphate   yeast specifc					5.5230492157498645e-06	5.523051830547132e-06	2.6147972675971687e-12
rxn30035_c0	indole-3-glycerol-phosphate synthase_c0		gene_4436	93327125.14756687	0.0061495666575930195	0.0017274054417066168	0.0017274054417066207	3.903127820947816e-18
rxn02503_m0	ATP:2-amino-4-hydroxy-6-hydroxymethyl-7,8-dihydropteridine 6'-pyrophosphotransferase_m0		gene_2704	28073346.15686169	0.0018498256880872608	0.0	0.0	0.0
HICITDm_m0	Homoisocitrate dehydrogenase		gene_1480	278076322.09915656	0.018323171060323322	0.024855564162550487	0.024855564162550522	3.469446951953614e-17
TYRt2p_c0	TRANS-RXNBWI-115637.ce.maizeexp.TYR_TYR_x0					0.0	0.0	0.0
rxn00808_c0	ATP:D-galactose 1-phosphotransferase_c0		gene_4189	109616428.61764805	0.007222911168490954	0.0	0.0	0.0
rxn01843_c0	2-phenylacetamide amidohydrolase_c0		gene_6335 or gene_187 or gene_2440 or gene_1738 or gene_4671 or gene_9547 or gene_6227 or gene_3244	46510957.81688772	0.003064727805031987	0.0	0.0	0.0
rxn06444_m0	L-Phenylalanine:tRNA(Ala) ligase (AMP-forming)_m0		gene_2161	12391661.670624651	0.0008165187700934284	0.0	0.0	0.0
rxn06439_m0	L-Histidine:tRNA(His) ligase (AMP-forming)_m0		gene_1950	187310664.9899972	0.012342386184217458	0.0	0.0	0.0
rxn05654_c0	Transport of succinate, extracellular_c0					0.0	0.0	0.0
rxn00379_c0	ATP:sulfate adenylyltransferase_c0		gene_12060	375515814.748705	0.024743712292928356	0.004225687257304142	0.004225687257303781	-3.608224830031759e-16
rxn09785_c0	Transport of S-adenosyl-L-homocysteine, mitochondrial_m0					-5.744174876845011e-05	-5.744174876845011e-05	0.0
